Transcript Sense_junction_reads Antisense_junction_reads
BL00020_cuf7 3 0
BL00159_cuf1 1 0
BL00219_cuf0 1 0
BL00294_evm7 2 0
BL00360_evm2 0 1
BL00530_evm2 1 0
BL00814_cuf0 1 0
BL01150_cuf13 1 0
BL01321_evm3 2 0
BL01348_cuf1 3 0
BL01365_evm0 1 0
BL01498_cuf25 6 0
BL01510_cuf0 1 0
BL01573_evm0 11 0
BL01587_evm4 1 0
BL01744_cuf0 2 0
BL01867_evm1 1 0
BL01874_cuf0 2 0
BL01918_evm0 1 0
BL01992_cuf3 1 0
BL02049_cuf1 1 0
BL02055_cuf0 1 0
BL02185_cuf2 1 0
BL02230_cuf13 1 0
BL02475_cuf1 4 0
BL02527_cuf1 1 0
BL02550_cuf0 1 0
BL02618_evm1 5 0
BL02719_cuf1 1 0
BL02917_evm1 1 0
BL02919_evm5 1 0
BL02997_cuf0 1 0
BL03162_cuf2 0 1
BL03196_evm0 1 0
BL03302_cuf0 2 0
BL03382_cuf10 1 0
BL03613_cuf2 1 0
BL03673_cuf1 1 0
BL03769_cuf1 1 0
BL03798_cuf0 1 0
BL04360_cuf0 10 0
BL04378_cuf1 1 0
BL04387_cuf0 1 0
BL04484_evm0 6 0
BL04531_cuf2 1 0
BL04535_cuf0 1 0
BL04632_cuf1 1 0
BL04778_cuf0 1 0
BL05003_cuf0 2 0
BL05172_cuf1 1 0
BL05273_cuf1 1 0
BL05310_cuf2 1 0
BL05331_cuf0 1 0
BL05546_evm0 1 0
BL05579_cuf2 1 0
BL05670_evm0 1 0
BL05671_cuf9 2 0
BL06004_evm1 1 0
BL06117_evm2 2 0
BL06136_cuf0 1 0
BL06143_cuf3 1 0
BL06160_cuf0 1 0
BL06198_cuf0 1 0
BL06207_cuf0 1 0
BL06284_evm1 2 0
BL06507_cuf0 1 0
BL06552_cuf6 3 0
BL06617_evm1 0 1
BL06718_cuf1 1 0
BL06862_cuf0 1 0
BL06883_cuf1 2 0
BL06942_cuf9 1 0
BL07021_evm1 6 0
BL07036_cuf0 1 0
BL07126_evm0 2 0
BL07361_cuf1 1 0
BL07437_cuf0 0 2
BL07665_evm1 1 0
BL07688_cuf4 2 0
BL07809_evm0 1 0
BL07815_cuf0 4 0
BL08018_cuf9 1 0
BL08117_cuf4 1 0
BL08307_cuf7 1 0
BL08344_evm0 2 0
BL08395_cuf1 1 0
BL08440_cuf4 1 0
BL08481_cuf4 1 0
BL08496_cuf3 14 0
BL08515_evm0 2 0
BL08761_cuf8 1 0
BL08791_evm0 1 0
BL08902_cuf2 1 0
BL09025_cuf1 1 0
BL09280_evm1 1 0
BL09341_cuf0 1 0
BL09427_cuf2 1 0
BL09705_cuf2 1 0
BL09798_cuf2 3 0
BL09813_evm0 1 0
BL09893_cuf18 1 0
BL10068_cuf0 0 1
BL10162_evm0 9 0
BL10251_evm0 1 0
BL10273_cuf1 1 0
BL10321_cuf6 1 0
BL10341_evm1 1 0
BL10354_cuf1 1 0
BL10368_cuf4 1 0
BL10443_evm0 1 0
BL10461_cuf0 1 0
BL10554_cuf4 0 1
BL10595_cuf1 1 0
BL10625_evm0 2 0
BL10891_cuf0 1 0
BL10970_cuf0 1 0
BL11035_cuf3 1 0
BL11086_cuf6 1 0
BL11147_cuf0 1 0
BL11209_cuf0 1 0
BL11253_cuf4 3 0
BL11264_evm19 1 0
BL11398_cuf1 1 0
BL11419_cuf1 17 0
BL11461_evm6 1 0
BL11474_evm0 1 0
BL11604_cuf0 1 0
BL11712_cuf7 1 0
BL11724_cuf1 1 0
BL11800_cuf0 1 0
BL11877_evm0 1 0
BL11902_cuf0 1 0
BL11925_cuf5 3 0
BL12014_cuf9 1 0
BL12105_cuf0 12 0
BL12122_cuf0 1 0
BL12147_cuf0 1 0
BL12475_evm0 1 0
BL12481_cuf0 12 0
BL12505_cuf4 1 0
BL12513_cuf0 1 0
BL12722_cuf0 3 0
BL12734_cuf0 1 0
BL12780_cuf0 1 0
BL12783_cuf5 3 0
BL12858_cuf0 1 0
BL13003_evm0 2 0
BL13047_cuf0 2 0
BL13095_evm0 0 3
BL13219_cuf0 1 0
BL13341_cuf8 3 0
BL13383_cuf2 1 0
BL13509_cuf1 0 1
BL13519_evm17 1 0
BL13630_cuf0 1 0
BL13655_evm0 1 0
BL13711_cuf2 1 0
BL13897_cuf0 3 0
BL14048_cuf0 3 0
BL14190_evm0 1 0
BL14238_cuf0 1 0
BL14299_cuf4 9 0
BL14328_cuf3 5 0
BL14422_evm0 9 0
BL14449_evm0 1 0
BL14526_evm6 2 0
BL14596_cuf0 1 0
BL14679_cuf0 1 0
BL14689_cuf0 1 0
BL14696_cuf0 1 0
BL14847_evm0 1 0
BL14855_cuf1 3 0
BL14869_evm21 1 0
BL15039_cuf0 1 0
BL15123_cuf1 2 0
BL15187_evm0 1 0
BL15434_cuf0 1 0
BL15441_cuf1 2 0
BL15448_cuf10 1 0
BL15552_evm0 1 0
BL15619_cuf0 1 0
BL15753_evm0 1 0
BL15797_cuf6 1 0
BL15831_cuf0 2 0
BL15862_cuf0 1 0
BL15914_cuf9 1 0
BL16120_evm6 0 2
BL16235_cuf0 1 0
BL16497_cuf1 167 0
BL16569_cuf1 1 0
BL16626_cuf0 1 0
BL17187_evm2 1 0
BL17334_cuf0 1 0
BL17424_evm3 1 0
BL17486_evm13 1 0
BL17508_cuf5 1 0
BL17521_evm1 1 0
BL17546_evm0 2 0
BL17751_evm0 6 0
BL17794_cuf5 1 0
BL18111_cuf0 1 0
BL18115_evm2 1 0
BL18144_cuf1 1 0
BL18198_cuf0 1 0
BL18235_cuf2 1 0
BL18408_cuf0 2 0
BL18445_evm0 1 0
BL18546_cuf12 1 0
