Transcript Sense_junction_reads Antisense_junction_reads
BL00015_evm1 1 0
BL00061_evm1 1 0
BL00202_cuf0 0 1
BL00236_cuf2 2 0
BL00240_cuf0 3 0
BL00259_cuf8 1 0
BL00316_evm0 1 0
BL00360_evm2 0 1
BL00530_evm2 1 0
BL00541_evm0 1 0
BL00574_evm0 2 0
BL00620_evm0 1 0
BL00662_cuf3 1 0
BL00664_cuf0 1 0
BL00796_cuf4 3 0
BL00804_cuf2 1 0
BL00862_cuf0 1 0
BL00889_cuf0 1 0
BL00903_cuf1 1 0
BL00992_evm0 1 0
BL01047_cuf0 1 0
BL01124_cuf3 1 4
BL01135_cuf4 0 1
BL01165_cuf0 1 0
BL01184_evm8 1 0
BL01196_cuf0 1 0
BL01317_evm0 1 0
BL01321_evm3 1 0
BL01348_cuf1 2 0
BL01411_cuf3 1 0
BL01426_cuf0 1 0
BL01429_cuf2 1 0
BL01483_cuf2 0 28
BL01510_cuf0 1 0
BL01565_cuf2 1 0
BL01573_evm0 2 0
BL01642_cuf6 1 0
BL01675_evm0 4 0
BL01693_evm1 13 0
BL01729_cuf0 1 0
BL01788_cuf3 1 0
BL01830_cuf3 1 0
BL01833_cuf0 1 0
BL01834_evm2 1 0
BL01864_cuf6 2 0
BL01874_cuf0 2 0
BL02049_cuf1 4 0
BL02083_cuf3 1 0
BL02109_cuf5 1 0
BL02185_cuf2 1 0
BL02302_evm0 2 0
BL02326_cuf0 2 0
BL02327_cuf0 0 6
BL02378_evm0 1 0
BL02468_cuf0 1 0
BL02480_cuf0 1 0
BL02489_cuf3 2 0
BL02527_cuf1 2 0
BL02550_cuf0 2 0
BL02606_cuf0 1 0
BL02650_cuf12 1 0
BL02714_cuf0 2 0
BL02730_cuf0 1 0
BL02767_evm0 1 0
BL02854_cuf2 1 0
BL02869_cuf9 2 0
BL02893_evm2 1 0
BL02919_evm5 1 0
BL02964_cuf0 2 0
BL03026_evm1 2 0
BL03067_cuf0 1 0
BL03134_cuf0 1 0
BL03155_cuf5 1 0
BL03167_cuf0 1 0
BL03181_cuf1 1 0
BL03195_cuf2 1 0
BL03196_evm0 4 0
BL03302_cuf0 9 0
BL03310_evm3 1 0
BL03342_cuf2 2 0
BL03540_evm2 1 0
BL03579_evm0 2 0
BL03625_evm16 2 0
BL03656_cuf13 2 0
BL03696_cuf5 1 0
BL03798_cuf0 1 0
BL03815_evm21 2 0
BL03826_evm0 1 0
BL03904_evm12 1 0
BL03917_evm0 1 0
BL03940_cuf1 1 0
BL03962_evm9 2 0
BL03973_evm0 1 0
BL04107_evm3 2 0
BL04114_evm1 2 0
BL04123_evm0 1 0
BL04265_cuf0 1 0
BL04287_cuf0 1 0
BL04311_cuf0 1 0
BL04345_cuf3 1 0
BL04360_cuf0 9 0
BL04378_cuf1 1 0
BL04461_evm1 1 0
BL04462_cuf10 1 0
BL04533_cuf24 3 0
BL04561_cuf2 8 0
BL04678_cuf2 6 0
BL04688_cuf0 1 0
BL04772_cuf0 2 0
BL04801_cuf2 1 0
BL04953_cuf2 1 0
BL04991_cuf0 0 1
BL05050_evm0 2 0
BL05053_evm0 0 1
BL05059_cuf0 1 0
BL05078_evm11 3 0
BL05116_evm1 1 0
BL05130_evm1 1 0
BL05154_cuf0 2 0
BL05202_cuf1 2 0
BL05273_cuf1 1 0
BL05310_cuf2 1 0
BL05324_cuf0 1 0
BL05353_evm6 4 0
BL05385_cuf1 1 0
BL05403_cuf0 1 0
BL05416_cuf1 1 0
BL05419_cuf8 1 0
BL05422_evm0 2 0
BL05435_cuf12 2 0
BL05491_cuf3 2 0
BL05610_cuf1 1 0
BL05749_cuf0 1 0
BL05848_cuf2 0 1
BL05851_cuf0 1 0
BL05972_cuf2 1 0
BL05985_cuf0 1 0
BL06022_cuf0 2 0
BL06063_evm3 1 0
BL06086_evm0 7 0
BL06117_evm2 1 0
BL06258_cuf0 1 0
BL06276_cuf9 2 0
BL06284_evm1 2 0
BL06439_evm0 1 0
BL06493_evm6 1 0
BL06501_evm3 0 1
BL06552_cuf6 2 0
BL06572_cuf4 1 0
BL06662_cuf0 1 0
BL06685_cuf0 0 4
BL06687_evm0 3 0
BL06716_cuf2 2 0
BL06718_cuf1 1 0
BL06741_cuf5 1 0
BL06776_cuf0 27 0
BL06826_cuf1 1 0
BL06853_cuf0 1 0
BL06883_cuf1 1 0
BL06953_cuf1 3 0
BL06958_cuf0 22 0
BL06973_evm1 2 0
BL07088_cuf0 1 0
BL07338_cuf1 1 0
BL07377_cuf0 1 0
BL07382_cuf0 1 0
BL07413_cuf4 1 0
BL07422_cuf0 1 0
BL07494_cuf0 1 0
BL07551_cuf9 1 0
BL07556_cuf1 1 0
BL07695_cuf3 1 0
BL07706_cuf0 1 0
BL07716_cuf0 1 0
BL07794_cuf0 1 0
BL07815_cuf0 2 0
BL07914_cuf2 1 0
BL08018_cuf9 1 0
BL08028_cuf2 1 0
BL08089_cuf4 1 0
BL08110_evm0 6 0
BL08136_evm0 1 0
BL08150_cuf0 1 0
BL08159_evm1 1 0
BL08234_cuf1 0 1
BL08319_evm0 1 0
BL08387_cuf0 1 0
BL08390_evm0 1 0
BL08402_cuf0 1 0
BL08420_cuf0 1 0
BL08443_cuf0 2 0
BL08452_cuf0 1 0
BL08478_cuf2 2 0
BL08481_cuf4 1 0
BL08497_cuf1 1 0
BL08529_cuf0 2 0
BL08539_evm0 15 0
BL08545_cuf1 3 0
BL08595_evm0 1 0
BL08645_evm0 5 0
BL08684_cuf0 1 0
BL08689_cuf0 1 0
BL08791_evm0 1 0
BL08815_cuf2 1 0
BL08818_cuf0 1 0
BL08863_cuf6 0 1
BL08877_evm0 2 0
BL08902_cuf2 1 0
BL08998_cuf0 1 0
BL09017_cuf2 2 0
BL09152_cuf1 1 0
BL09188_evm1 1 0
BL09189_evm1 2 0
BL09246_cuf1 1 0
BL09302_evm0 3 0
BL09303_cuf0 2 0
BL09341_cuf0 1 0
BL09348_cuf0 1 0
BL09399_evm0 2 0
BL09465_cuf0 1 0
BL09610_cuf0 1 0
BL09644_cuf1 0 1
BL09705_cuf2 1 0
BL09737_cuf0 1 0
BL09781_cuf12 1 0
BL09813_evm0 1 0
BL09897_cuf5 1 0
BL09925_cuf8 1 0
BL10073_cuf0 1 0
BL10085_cuf0 1 0
BL10088_evm0 1 0
BL10119_cuf6 1 0
BL10153_cuf5 2 0
BL10179_cuf3 1 0
BL10197_cuf5 0 1
BL10201_cuf1 11 0
BL10203_cuf1 2 0
BL10269_cuf22 1 0
BL10273_cuf1 8 0
BL10323_evm0 1 0
BL10326_cuf0 1 0
BL10371_cuf0 1 0
BL10461_cuf0 4 0
BL10475_evm0 1 0
BL10521_evm1 10 0
BL10561_cuf0 2 0
BL10577_cuf17 1 0
BL10672_evm0 1 0
BL10685_cuf2 2 0
BL10690_cuf10 1 0
BL10716_evm2 1 0
BL10757_cuf9 1 0
BL10791_cuf1 1 0
BL10799_cuf0 1 0
BL10926_cuf1 1 0
