Transcript Sense_junction_reads Antisense_junction_reads
BL16896_cuf1 5 0
BL16900_cuf1 1 0
BL16964_cuf5 1 0
BL16981_cuf14 1 0
BL17020_cuf0 1 0
BL17031_evm0 1 0
BL17073_cuf3 1 0
BL17182_cuf0 1 0
BL17232_cuf1 1 0
BL17360_evm1 1 0
BL17389_cuf5 1 0
BL17403_cuf0 1 0
BL17409_evm0 1 0
BL17451_evm7 3 0
BL17457_cuf3 1 0
BL17601_cuf3 1 0
BL17676_cuf1 1 0
BL17852_evm0 1 0
BL17870_cuf2 1 0
BL18005_evm1 1 0
BL18332_cuf1 1 0
BL18373_cuf8 1 0
BL18458_evm0 0 1
BL18599_cuf0 0 1
BL18642_cuf0 1 0
BL18655_cuf0 1 0
BL18684_evm6 0 1
BL19029_cuf1 2 0
BL19142_cuf1 0 1
BL19234_evm4 1 0
BL19246_cuf2 1 0
BL19373_evm0 1 0
BL19412_cuf2 0 2
BL19413_evm0 1 0
BL19485_cuf6 0 1
BL19510_cuf1 1 0
BL19556_cuf9 1 0
BL19683_evm7 1 0
BL19939_cuf12 1 0
BL19948_cuf1 1 0
BL19995_evm1 0 1
BL20076_cuf0 1 0
BL20082_cuf2 1 0
BL20469_cuf0 3 0
BL20498_cuf3 1 0
BL20995_cuf4 1 0
BL21046_cuf0 0 1
BL21066_cuf3 1 0
BL21143_cuf0 2 0
BL21378_cuf1 1 0
BL21577_evm13 1 0
BL21590_cuf1 1 0
BL21628_cuf1 1 0
BL21774_cuf0 1 0
BL21856_cuf0 1 0
BL21937_cuf0 0 1
BL21967_cuf12 1 0
BL21996_cuf0 1 0
BL22023_cuf1 1 0
BL22370_evm0 1 0
BL22571_cuf5 1 0
BL22645_cuf2 1 0
BL22683_cuf2 1 0
BL22720_cuf2 2 0
BL22741_cuf0 2 0
BL22961_cuf0 1 0
BL22989_cuf9 2 0
BL23021_cuf2 1 0
BL23225_cuf1 1 0
BL23258_cuf0 2 0
BL23394_cuf0 0 6
BL23463_cuf35 1 0
BL23586_evm5 1 0
BL23619_cuf0 1 0
BL23674_evm1 2 0
BL23688_cuf0 0 1
BL23690_cuf0 1 0
BL23692_cuf13 1 0
BL23746_evm0 1 0
BL23760_cuf0 1 0
BL23947_cuf1 1 0
BL24043_cuf0 1 0
BL24115_cuf1 1 0
BL24211_evm0 0 1
BL24307_cuf2 2 0
BL24348_cuf27 1 0
BL24370_cuf0 1 0
BL24573_cuf25 1 0
BL24761_evm3 1 0
BL24782_cuf3 1 0
BL24904_cuf0 1 0
BL27672_evm0 2 0
BL27964_evm1 1 0
BL28448_evm0 0 16
BL28758_evm0 0 1
BL28879_evm0 1 0
BL29664_evm0 1 0
BL29698_evm0 0 1
BL30061_evm0 1 0
BL30145_evm0 1 0
BL32114_evm0 0 1
BL39045_cuf0 1 0
BL39790_cuf0 1 0
BL40893_cuf0 1 0
BL42175_cuf3 1 0
BL49334_cuf1 1 0
BL53309_cuf1 1 0
BL53436_cuf2 3 0
BL70299_cuf2 1 0
BL74986_cuf4 4 0
BL75466_cuf0 0 1
BL79365_cuf1 1 0
BL83748_cuf1 1 0
BL95023_evm1 1 0
BL95051_evm0 1 0
BL95100_evm0 1 0
BL95115_evm0 1 0
BL95235_evm1 1 0
BL95272_evm0 1 0
BL95282_evm0 1 0
BL95309_evm1 1 0
BL95419_evm0 1 0
BL95514_evm1 1 0
BL95542_evm0 1 0
BL95554_evm1 1 0
BL95726_evm1 1 0
BL95759_evm1 1 0
BL95785_evm1 1 0
BL95955_evm1 2 0
BL96092_evm1 1 0
BL96225_cuf3 31 0
BL96231_cuf3 1 0
BL96290_cuf2 1 0
BL96794_cuf1 1 0
BL96805_cuf2 1 0
BL97271_cuf6 1 0
BL97272_cuf8 1 0
BL97365_cuf1 1 0
BL97380_cuf1 1 0
BL97413_cuf0 1 0
BL97415_cuf0 2 0
BL97416_cuf11 2 0
