Transcript Sense_junction_reads Antisense_junction_reads
BL00051_cuf0 2 0
BL00061_evm1 1 0
BL00083_cuf2 1 0
BL00086_cuf0 1 0
BL00091_cuf0 1 0
BL00200_evm4 1 0
BL00236_cuf2 2 0
BL00240_cuf0 1 0
BL00244_cuf0 1 0
BL00316_evm0 1 0
BL00341_cuf0 1 0
BL00347_evm20 1 0
BL00356_cuf0 1 0
BL00361_evm2 1 0
BL00376_cuf0 1 0
BL00386_cuf0 2 0
BL00434_cuf0 1 0
BL00446_cuf0 1 0
BL00448_evm0 1 0
BL00468_evm2 1 0
BL00496_evm0 1 0
BL00499_cuf0 2 0
BL00505_evm0 1 0
BL00510_evm0 1 0
BL00515_cuf0 2 9
BL00541_evm0 8 0
BL00542_cuf2 9 0
BL00561_cuf0 1 0
BL00597_cuf1 4 0
BL00620_evm0 3 0
BL00633_cuf3 1 0
BL00662_cuf3 1 0
BL00678_cuf0 1 0
BL00680_cuf1 1 0
BL00723_cuf0 1 0
BL00724_cuf0 3 0
BL00789_cuf2 1 0
BL00796_cuf4 1 0
BL00820_cuf2 1 0
BL00828_cuf3 1 0
BL00864_cuf3 1 0
BL00911_cuf0 1 0
BL00930_evm0 2 0
BL00992_evm0 1 0
BL00998_cuf13 1 0
BL01003_evm0 1 0
BL01011_cuf0 1 0
BL01047_cuf0 1 0
BL01118_cuf0 2 0
BL01136_evm0 2 0
BL01163_evm0 1 0
BL01174_evm4 1 0
BL01181_cuf4 1 0
BL01194_evm1 1 0
BL01227_cuf0 1 0
BL01307_cuf0 1 0
BL01338_cuf0 1 0
BL01357_cuf2 1 0
BL01375_cuf0 1 0
BL01462_cuf0 1 0
BL01507_cuf5 2 0
BL01529_cuf0 1 0
BL01542_evm1 1 0
BL01546_evm0 1 0
BL01554_cuf0 1 0
BL01556_evm2 1 0
BL01586_cuf1 1 0
BL01604_cuf8 1 0
BL01614_evm38 2 0
BL01616_cuf8 1 0
BL01624_cuf2 1 0
BL01640_cuf3 1 0
BL01675_evm0 1 0
BL01682_cuf0 4 0
BL01693_evm1 5 0
BL01696_evm0 1 0
BL01730_cuf0 2 0
BL01731_cuf1 2 0
BL01829_evm0 1 0
BL01864_cuf6 75 0
BL01903_evm0 1 0
BL01915_cuf1 5 2
BL01925_cuf0 1 0
BL01965_cuf5 1 0
BL02003_cuf1 1 0
BL02039_cuf1 1 0
BL02043_cuf1 1 0
BL02047_evm3 1 0
BL02061_evm3 1 0
BL02064_cuf3 1 0
BL02103_cuf16 1 0
BL02120_cuf1 1 0
BL02165_cuf0 1 0
BL02215_cuf1 1 0
BL02216_cuf0 1 0
BL02227_evm7 1 0
BL02235_cuf5 1 0
BL02249_cuf0 1 0
BL02267_cuf5 2 0
BL02299_cuf9 1 0
BL02314_cuf2 1 0
BL02401_evm0 2 0
BL02439_cuf0 1 0
BL02459_evm10 1 0
BL02504_evm2 1 0
BL02524_cuf2 1 0
BL02527_cuf1 1 0
BL02529_cuf2 2 0
BL02567_cuf10 1 0
BL02603_cuf0 1 0
BL02624_cuf6 1 0
BL02659_cuf4 1 0
BL02710_cuf0 1 0
BL02743_evm2 2 0
BL02836_cuf1 1 0
BL03027_evm2 1 0
BL03103_cuf10 1 0
BL03126_cuf27 1 0
BL03136_cuf0 1 0
BL03141_evm0 1 0
BL03169_cuf0 1 0
BL03191_cuf9 1 0
BL03199_cuf8 1 0
BL03208_cuf0 1 0
BL03250_evm2 1 0
BL03264_cuf0 1 0
BL03272_cuf0 1 0
BL03296_evm6 1 0
BL03304_evm0 1 0
BL03321_evm6 1 0
BL03342_cuf2 1 0
BL03377_evm17 1 0
BL03389_cuf0 1 0
BL03457_cuf2 1 0
BL03479_cuf0 1 0
BL03545_cuf1 1 0
BL03558_cuf19 1 0
BL03594_cuf1 1 0
BL03625_evm16 3 0
BL03721_cuf8 2 0
BL03735_cuf24 1 0
BL03756_evm0 1 0
BL03815_evm21 2 0
BL03827_cuf0 1 0
BL03834_cuf0 7 0
BL03846_cuf4 1 0
BL03899_evm10 1 0
BL03902_cuf1 1 0
BL03904_evm12 3 0
BL03905_cuf2 1 0
BL03940_cuf1 2 0
BL03962_evm9 1 0
BL03969_cuf0 1 0
BL03990_cuf0 1 0
BL03997_cuf0 1 0
BL04003_cuf0 1 0
BL04054_cuf18 1 0
BL04065_evm0 1 0
BL04084_cuf1 1 0
BL04096_cuf0 2 0
BL04107_evm3 4 0
BL04114_evm1 2 0
BL04133_cuf20 1 0
BL04169_cuf0 1 0
BL04181_evm1 2 0
BL04198_cuf3 0 1
BL04216_cuf12 2 0
BL04223_cuf0 1 0
BL04286_cuf0 1 0
BL04320_evm8 1 0
BL04345_cuf3 1 0
BL04411_evm10 1 0
BL04460_cuf1 1 0
BL04501_evm4 1 0
BL04531_cuf2 1 0
BL04561_cuf2 1 0
BL04593_evm1 1 0
BL04607_cuf0 2 0
BL04624_cuf2 1 0
BL04625_cuf1 1 0
BL04678_cuf2 1 0
BL04686_cuf1 1 0
BL04688_cuf0 1 0
BL04716_evm0 1 0
BL04766_cuf1 1 0
BL04791_cuf3 2 0
BL04793_cuf9 1 0
BL04801_cuf2 1 0
BL04812_cuf6 1 0
BL04863_cuf0 1 0
BL04872_cuf2 3 0
BL04877_evm0 1 0
BL04902_cuf12 1 0
BL04935_evm0 1 0
BL04951_cuf2 1 0
BL04963_cuf9 1 0
BL04981_evm0 1 0
BL05014_cuf9 1 0
BL05044_cuf0 1 0
BL05059_cuf0 22 0
BL05063_cuf0 3 0
BL05074_cuf2 1 0
BL05078_evm11 1 0
BL05109_evm0 1 0
BL05148_evm2 1 0
BL05207_cuf1 1 0
BL05243_cuf1 1 0
BL05262_cuf4 1 0
BL05273_cuf1 1 0
BL05296_cuf1 1 0
BL05306_cuf2 1 0
BL05413_cuf1 1 0
BL05416_cuf1 1 0
BL05419_cuf8 2 0
BL05422_evm0 1 0
BL05428_cuf0 1 0
BL05435_cuf12 2 0
BL05464_cuf0 1 0
BL05470_cuf0 1 0
BL05544_evm6 1 0
BL05550_evm0 1 0
BL05602_evm0 1 0
BL05648_cuf30 3 0
BL05652_cuf0 2 0
BL05661_evm1 1 0
BL05673_cuf1 1 0
BL05680_cuf0 1 0
BL05726_cuf1 8 0
BL05730_cuf0 1 0
BL05767_cuf0 1 0
BL05776_cuf0 1 0
BL05851_cuf0 1 0
BL05870_cuf9 1 0
BL05933_cuf22 3 0
BL05950_cuf0 1 0
BL05974_cuf0 1 0
BL06000_cuf2 1 0
BL06022_cuf0 1 0
BL06046_evm6 1 0
BL06062_cuf1 2 0
BL06086_evm0 22 1
BL06090_cuf3 1 0
BL06097_cuf6 1 0
BL06103_evm1 1 0
BL06117_evm2 1 0
BL06132_cuf0 2 0
BL06156_cuf0 2 0
BL06194_evm3 1 0
BL06203_evm3 1 0
BL06261_cuf4 1 0
BL06276_cuf9 1 0
BL06327_cuf0 1 0
BL06362_cuf0 2 0
BL06369_cuf4 1 0
BL06386_cuf23 1 0
BL06437_cuf1 1 0
