Transcript Sense_junction_reads Antisense_junction_reads
BL00021_evm0 0 1
BL00025_cuf0 9 0
BL00030_cuf0 2 0
BL00051_cuf0 6 0
BL00057_cuf1 0 1
BL00061_evm1 13 0
BL00063_cuf2 1 0
BL00068_evm0 4 0
BL00083_cuf2 2 0
BL00095_evm0 1 0
BL00106_cuf0 1 0
BL00114_cuf2 1 1
BL00131_evm21 2 0
BL00134_cuf1 1 0
BL00137_evm0 2 0
BL00143_cuf2 1 0
BL00153_evm0 1 0
BL00155_evm1 1 0
BL00164_evm0 1 0
BL00168_evm0 1 0
BL00174_cuf3 2 0
BL00193_evm9 1 0
BL00200_evm4 2 0
BL00202_cuf0 3 0
BL00215_evm0 0 2
BL00227_cuf0 4 0
BL00233_cuf1 2 0
BL00236_cuf2 5 0
BL00240_cuf0 9 0
BL00244_cuf0 1 0
BL00271_cuf0 1 0
BL00287_cuf0 3 0
BL00288_cuf0 1 0
BL00292_evm0 2 0
BL00316_evm0 5 0
BL00321_evm2 1 0
BL00333_cuf0 1 0
BL00347_evm20 3 0
BL00356_cuf0 1 0
BL00362_evm0 2 0
BL00364_cuf9 1 0
BL00365_cuf0 0 1
BL00366_cuf0 2 0
BL00372_evm2 2 0
BL00412_cuf0 1 0
BL00426_cuf0 1 0
BL00434_cuf0 1 0
BL00439_evm0 1 0
BL00444_cuf1 1 0
BL00458_evm3 1 0
BL00468_evm2 2 0
BL00487_evm0 2 0
BL00499_cuf0 2 0
BL00504_cuf12 1 0
BL00512_cuf0 2 0
BL00526_evm3 2 0
BL00530_evm2 1 0
BL00531_evm1 2 0
BL00535_cuf1 1 0
BL00538_cuf0 1 0
BL00541_evm0 1 0
BL00542_cuf2 5 0
BL00581_evm2 1 0
BL00591_cuf0 2 0
BL00597_cuf1 12 0
BL00607_evm0 2 0
BL00611_cuf1 1 0
BL00620_evm0 8 0
BL00627_cuf3 2 0
BL00633_cuf3 3 0
BL00650_cuf0 2 0
BL00662_cuf3 1 0
BL00664_cuf0 2 0
BL00680_cuf1 1 0
BL00687_cuf0 8 0
BL00688_evm3 1 0
BL00696_cuf0 4 0
BL00702_cuf0 1 0
BL00711_cuf4 3 0
BL00719_cuf8 1 0
BL00721_evm1 1 0
BL00723_cuf0 2 0
BL00724_cuf0 4 0
BL00729_cuf1 6 0
BL00739_cuf0 1 0
BL00740_cuf0 1 0
BL00755_cuf0 1 0
BL00764_cuf3 3 0
BL00789_cuf2 1 0
BL00790_evm0 3 0
BL00794_cuf0 2 0
BL00795_cuf0 1 0
BL00796_cuf4 8 0
BL00801_cuf2 1 0
BL00809_cuf1 1 0
BL00812_cuf6 2 0
BL00828_cuf3 1 0
BL00833_evm2 1 0
BL00834_evm0 1 0
BL00854_evm0 4 0
BL00855_cuf1 2 0
BL00862_cuf0 1 0
BL00872_evm20 4 0
BL00911_cuf0 2 0
BL00922_cuf1 1 0
BL00925_cuf1 1 0
BL00930_evm0 4 0
BL00967_cuf0 2 0
BL00972_cuf4 4 0
BL00982_evm7 1 0
BL00992_evm0 3 0
BL00998_cuf13 4 0
BL01000_cuf0 2 0
BL01004_cuf16 5 0
BL01008_evm0 1 0
BL01016_cuf0 1 0
BL01028_evm0 1 0
BL01044_evm8 5 0
BL01047_cuf0 2 0
BL01048_evm1 4 0
BL01053_cuf1 1 0
BL01071_cuf6 1 0
BL01078_cuf1 1 0
BL01085_cuf1 1 0
BL01086_cuf5 2 0
BL01088_evm3 1 0
BL01089_evm0 3 0
BL01092_evm0 1 0
BL01093_cuf0 1 0
BL01105_cuf0 3 0
BL01106_cuf3 1 0
BL01111_evm1 1 0
BL01115_cuf0 1 0
BL01124_cuf3 0 1
BL01131_cuf0 1 0
BL01153_cuf0 1 0
BL01165_cuf0 1 0
BL01166_evm1 1 0
BL01174_evm4 5 0
BL01184_evm8 3 0
BL01188_cuf0 1 0
BL01202_evm0 2 0
BL01205_cuf4 2 0
BL01226_cuf7 1 0
BL01242_evm1 3 0
BL01248_cuf0 2 0
BL01259_cuf0 1 0
BL01288_cuf0 1 0
BL01289_cuf0 1 0
BL01295_evm1 3 0
BL01309_cuf0 1 0
BL01321_evm3 3 0
BL01322_cuf0 1 0
BL01327_cuf1 3 0
BL01337_evm5 2 0
BL01350_cuf20 6 0
BL01357_cuf2 2 0
BL01375_cuf0 1 0
BL01416_cuf1 6 4
BL01417_cuf3 1 0
BL01426_cuf0 2 0
BL01429_cuf2 1 0
BL01433_evm1 1 0
BL01454_cuf0 1 0
BL01468_cuf0 3 0
BL01469_cuf0 5 0
BL01474_cuf0 3 0
BL01480_cuf4 6 0
BL01483_cuf2 0 18
BL01507_cuf5 10 0
BL01508_cuf2 2 0
BL01514_cuf1 3 0
BL01526_cuf4 1 0
BL01541_cuf0 3 0
BL01554_cuf0 1 0
BL01555_evm3 2 0
BL01556_evm2 1 0
BL01580_cuf1 3 0
BL01591_cuf0 1 0
BL01601_cuf0 1 0
BL01604_cuf8 3 0
BL01614_evm38 11 0
BL01616_cuf8 1 0
BL01620_evm5 1 0
BL01644_cuf5 2 0
BL01645_cuf1 3 0
BL01655_evm1 2 0
BL01676_cuf4 1 0
BL01692_cuf22 1 0
BL01693_evm1 44 0
BL01698_cuf0 2 0
BL01700_cuf2 2 0
BL01711_evm0 1 0
BL01730_cuf0 1 0
BL01731_cuf1 1 0
BL01753_evm0 5 0
BL01762_cuf1 3 0
BL01787_cuf1 2 0
BL01788_cuf3 1 0
BL01810_evm0 1 0
BL01830_cuf3 1 0
BL01832_cuf0 1 0
BL01834_evm2 1 0
BL01839_evm1 1 0
BL01848_cuf5 2 0
BL01851_cuf0 5 0
BL01864_cuf6 90 0
BL01872_evm1 6 0
BL01885_cuf1 2 1
BL01915_cuf1 11 0
BL01916_cuf0 1 0
BL01918_evm0 1 0
BL01925_cuf0 1 0
BL01935_cuf2 1 0
BL01948_evm1 1 0
BL01955_evm13 9 0
BL01959_cuf17 5 0
BL01962_evm18 1 0
BL01983_evm1 1 0
BL01992_cuf3 1 0
BL01994_cuf1 1 0
BL01997_cuf1 1 0
BL02004_evm0 4 0
BL02009_evm0 1 0
BL02031_evm3 2 0
BL02032_cuf1 1 0
BL02048_evm2 3 0
BL02049_cuf1 4 0
BL02055_cuf0 1 0
BL02056_evm0 2 0
BL02063_cuf0 2 0
BL02064_cuf3 3 0
BL02073_cuf8 1 0
BL02082_cuf0 3 0
BL02083_cuf3 2 0
BL02085_cuf0 1 0
BL02093_evm0 2 0
BL02098_cuf19 1 0
BL02100_cuf0 1 0
BL02103_cuf16 2 0
BL02118_cuf6 1 0
BL02120_cuf1 4 0
BL02152_evm3 1 0
BL02153_cuf14 1 0
BL02164_evm0 0 1
BL02185_cuf2 1 0
BL02206_cuf1 1 0
BL02215_cuf1 1 0
BL02225_cuf6 1 0
BL02226_evm0 3 0
