Transcript Sense_junction_reads Antisense_junction_reads
BL00015_evm1 1 0
BL00063_cuf2 1 0
BL00064_cuf7 1 0
BL00134_cuf1 2 0
BL00148_evm0 1 0
BL00233_cuf1 1 0
BL00236_cuf2 3 0
BL00240_cuf0 4 0
BL00262_cuf2 1 0
BL00285_cuf0 1 0
BL00357_cuf0 1 0
BL00360_evm2 0 6
BL00366_cuf0 1 0
BL00388_cuf0 1 0
BL00403_cuf0 1 0
BL00405_cuf8 5 0
BL00451_cuf3 5 0
BL00471_evm0 8 0
BL00505_evm0 5 0
BL00531_evm1 2 0
BL00586_cuf0 4 0
BL00621_cuf6 1 0
BL00662_cuf3 1 0
BL00687_cuf0 37 0
BL00699_cuf0 1 0
BL00764_cuf3 1 0
BL00783_evm1 1 0
BL00835_cuf6 1 0
BL00854_evm0 1 0
BL00908_cuf0 3 0
BL00982_evm7 1 0
BL00992_evm0 1 0
BL01071_cuf6 1 0
BL01131_cuf0 1 0
BL01135_cuf4 1 0
BL01193_cuf9 1 0
BL01194_evm1 1 0
BL01205_cuf4 1 0
BL01237_cuf0 1 0
BL01242_evm1 2 0
BL01259_cuf0 1 0
BL01278_evm0 1 0
BL01295_evm1 3 0
BL01307_cuf0 1 0
BL01332_evm0 1 0
BL01338_cuf0 1 0
BL01348_cuf1 1 0
BL01350_cuf20 1 0
BL01375_cuf0 1 0
BL01379_evm0 2 0
BL01452_cuf1 2 0
BL01454_cuf0 1 0
BL01474_cuf0 0 1
BL01480_cuf4 1 0
BL01483_cuf2 1 1
BL01498_cuf25 67 0
BL01519_cuf0 1 0
BL01526_cuf4 1 0
BL01542_evm1 1 0
BL01546_evm0 1 0
BL01567_evm2 2 0
BL01573_evm0 3 0
BL01587_evm4 1 0
BL01614_evm38 1 0
BL01640_cuf3 1 0
BL01733_cuf4 1 0
BL01734_cuf15 1 0
BL01794_evm0 1 0
BL01830_cuf3 1 0
BL01867_evm1 3 0
BL01875_cuf1 1 0
BL01918_evm0 1 0
BL01959_cuf17 2 0
BL02003_cuf1 1 0
BL02009_evm0 6 0
BL02032_cuf1 2 0
BL02034_evm2 3 0
BL02036_cuf0 1 0
BL02048_evm2 1 0
BL02049_cuf1 4 0
BL02073_cuf8 1 0
BL02098_cuf19 1 0
BL02103_cuf16 6 0
BL02142_evm1 1 0
BL02169_cuf4 2 0
BL02234_cuf9 1 0
BL02241_cuf2 1 0
BL02255_cuf5 1 0
BL02270_cuf2 1 0
BL02317_cuf1 1 0
BL02377_cuf8 1 0
BL02385_evm4 1 0
BL02388_cuf0 1 0
BL02475_cuf1 1 0
BL02489_cuf3 1 0
BL02498_evm18 1 0
BL02512_cuf0 1 0
BL02527_cuf1 1 0
BL02536_evm5 1 0
BL02538_cuf12 1 0
BL02579_cuf13 2 0
BL02653_evm2 1 0
BL02698_cuf0 1 0
BL02714_cuf0 2 0
BL02719_cuf1 1 0
BL02771_evm5 1 0
BL02805_cuf0 1 0
BL02836_cuf1 1 0
BL02842_cuf0 1 0
BL02854_cuf2 1 0
BL02898_evm1 1 0
BL02919_evm5 1 0
BL02944_cuf0 1 0
BL02961_cuf0 1 0
BL03020_cuf1 1 0
BL03022_cuf2 1 0
BL03026_evm1 1 0
BL03046_evm1 1 0
BL03060_cuf2 1 0
BL03073_evm0 1 1
BL03103_cuf10 12 0
BL03109_evm10 1 0
BL03126_cuf27 1 0
BL03136_cuf0 1 0
BL03157_cuf4 1 0
BL03160_cuf5 1 0
BL03167_cuf0 1 0
BL03171_cuf0 1 0
BL03184_cuf5 1 0
BL03191_cuf9 1 0
BL03196_evm0 3 0
BL03199_cuf8 3 0
BL03203_cuf0 2 0
BL03208_cuf0 1 0
BL03268_cuf0 4 0
BL03271_cuf0 1 0
BL03272_cuf0 1 0
BL03273_evm12 3 0
BL03302_cuf0 7 0
BL03305_cuf2 0 1
BL03321_evm6 1 0
BL03342_cuf2 1 0
BL03356_cuf1 1 0
BL03366_cuf1 1 0
BL03377_evm17 1 0
BL03410_cuf16 12 0
BL03439_cuf9 1 0
BL03451_cuf17 1 0
BL03475_cuf0 2 0
BL03545_cuf1 2 0
BL03558_cuf19 1 0
BL03564_cuf0 1 0
BL03577_evm0 3 0
BL03580_evm0 1 0
BL03598_cuf15 1 0
BL03611_evm0 1 0
BL03625_evm16 1 0
BL03697_cuf0 2 0
BL03756_evm0 1 0
BL03794_cuf0 1 0
BL03798_cuf0 4 0
BL03806_cuf2 1 0
BL03815_evm21 3 0
BL03824_cuf5 2 0
BL03826_evm0 1 0
BL03841_cuf2 2 0
BL03846_cuf4 2 0
BL03854_cuf3 1 0
BL03871_cuf0 2 0
BL03897_cuf0 2 0
BL03899_evm10 1 0
BL03904_evm12 8 0
BL03917_evm0 1 0
BL03932_evm15 2 0
BL03940_cuf1 4 0
BL03975_cuf15 1 0
BL03990_cuf0 1 0
BL04008_evm0 2 0
BL04065_evm0 2 0
BL04081_cuf9 1 0
BL04096_cuf0 1 0
BL04099_cuf0 1 0
BL04107_evm3 3 0
BL04159_cuf7 1 0
BL04265_cuf0 1 0
BL04287_cuf0 5 0
BL04322_cuf2 1 0
BL04343_cuf3 1 0
BL04346_evm0 1 0
BL04360_cuf0 6 0
BL04378_cuf1 1 0
BL04380_cuf0 4 0
BL04386_cuf2 1 0
BL04393_evm2 1 0
BL04402_cuf1 1 0
BL04409_evm0 55 0
BL04460_cuf1 1 0
BL04462_cuf10 2 0
BL04479_evm6 1 0
BL04484_evm0 1 0
BL04535_cuf0 1 0
BL04539_evm0 1 0
BL04552_cuf4 2 0
BL04580_cuf2 2 0
BL04583_cuf2 1 0
BL04593_evm1 1 0
BL04632_cuf1 5 0
BL04686_cuf1 2 0
BL04693_cuf0 1 0
BL04715_cuf8 13 0
BL04741_cuf0 1 0
BL04752_cuf2 2 0
BL04766_cuf1 2 0
BL04791_cuf3 2 0
BL04819_evm0 1 0
BL04849_cuf1 1 0
BL04858_cuf2 9 0
BL04868_cuf0 1 0
BL04872_cuf2 2 0
BL04890_cuf6 6 0
BL04915_cuf0 3 0
BL04935_evm0 2 0
BL04947_cuf8 1 0
BL04952_cuf9 2 0
BL04953_cuf2 1 0
BL04985_cuf0 1 0
BL05006_cuf0 1 0
BL05044_cuf0 1 0
BL05053_evm0 2 0
BL05067_cuf6 3 0
BL05074_cuf2 2 0
BL05085_cuf0 1 0
BL05109_evm0 1 0
BL05116_evm1 1 0
BL05132_cuf3 1 0
BL05136_evm3 1 0
BL05139_cuf4 3 0
BL05140_cuf0 1 0
BL05153_evm11 1 0
BL05154_cuf0 1 0
BL05171_cuf0 1 0
BL05178_evm0 1 0
BL05189_cuf1 1 0
BL05205_cuf0 2 0
BL05272_evm0 1 0
BL05286_cuf4 2 0
BL05319_cuf0 1 0
BL05339_cuf0 2 0
BL05349_evm3 1 0
BL05353_evm6 1 0
BL05366_evm6 1 0
BL05384_cuf18 3 0
BL05385_cuf1 5 0
BL05414_cuf0 1 0
BL05416_cuf1 1 0
BL05419_cuf8 1 0
BL05422_evm0 1 0
BL05423_cuf0 1 0
BL05469_evm0 1 0
BL05470_cuf0 1 0
BL05478_cuf0 1 0
BL05528_evm0 1 0
BL05533_cuf1 2 0
BL05549_cuf1 3 0
BL05584_cuf1 1 0
BL05592_cuf4 1 0
BL05602_evm0 17 0
BL05604_cuf0 0 3
BL05605_cuf10 2 0
BL05610_cuf1 1 0
BL05635_evm0 2 0
BL05661_evm1 2 0
BL05679_cuf11 3 0
BL05700_evm0 1 0
BL05717_cuf2 2 0
BL05733_cuf12 2 0
BL05742_cuf0 1 0
BL05746_evm27 1 0
BL05753_evm0 0 1
BL05778_cuf1 1 0
BL05799_cuf0 1 0
BL05804_cuf3 1 0
BL05814_cuf1 1 0
BL05828_cuf0 1 0
BL05830_cuf0 2 0
BL05837_evm3 1 0
BL05870_cuf9 3 0
BL05889_evm0 3 0
BL05904_cuf1 1 0
BL05927_cuf0 1 0
BL05931_cuf2 1 0
BL05974_cuf0 9 0
BL06004_evm1 3 0
BL06017_evm0 1 0
BL06025_cuf10 2 0
BL06030_cuf3 1 0
BL06035_cuf4 1 0
BL06080_cuf1 2 0
BL06117_evm2 14 0
BL06194_evm3 1 0
BL06273_cuf0 1 0
BL06276_cuf9 3 0
BL06298_cuf3 1 0
BL06305_cuf0 1 0
BL06327_cuf0 1 0
BL06431_evm5 2 0
BL06443_cuf0 1 0
BL06455_cuf0 9 0
BL06483_cuf0 1 0
BL06545_cuf1 1 0
BL06552_cuf6 1 0
BL06563_cuf1 1 0
BL06589_cuf6 3 0
BL06656_evm4 1 0
BL06677_cuf2 1 0
BL06687_evm0 1 0
BL06716_cuf2 1 0
BL06718_cuf1 5 0
BL06723_evm1 3 0
BL06752_cuf1 1 0
BL06774_cuf0 1 0
BL06775_cuf0 2 0
BL06776_cuf0 2 0
BL06824_evm0 1 0
BL06826_cuf1 2 0
BL06849_cuf5 1 0
BL06855_evm0 1 0
BL06861_cuf0 1 0
BL06871_cuf0 1 0
BL06883_cuf1 3 0
BL06903_evm2 1 0
BL06930_cuf0 2 0
BL06976_cuf4 2 0
BL06993_cuf0 1 0
BL07020_evm0 1 0
BL07021_evm1 11 0
BL07036_cuf0 2 0
BL07049_cuf4 1 0
BL07095_evm0 1 0
BL07123_evm0 2 0
