Transcript Sense_junction_reads Antisense_junction_reads
BL00063_cuf2 1 0
BL00215_evm0 0 1
BL00240_cuf0 1 0
BL00360_evm2 0 11
BL00439_evm0 0 1
BL00468_evm2 1 0
BL00486_cuf5 1 0
BL01092_evm0 1 0
BL01161_evm0 1 0
BL01179_evm1 1 0
BL01242_evm1 0 1
BL01337_evm5 1 0
BL01480_cuf4 1 0
BL01483_cuf2 0 7
BL01729_cuf0 0 1
BL01790_evm3 1 0
BL01864_cuf6 1 0
BL01872_evm1 1 0
BL02005_cuf0 2 0
BL02326_cuf0 1 0
BL02672_cuf0 1 0
BL02749_cuf0 0 1
BL03027_evm2 1 0
BL03123_cuf7 1 0
BL03155_cuf5 1 0
BL03302_cuf0 1 0
BL03342_cuf2 2 0
BL03541_evm1 3 0
BL03829_cuf0 1 0
BL03851_evm0 1 0
BL03860_cuf2 2 0
BL03884_cuf2 1 0
BL03969_cuf0 1 0
BL03970_evm17 2 0
BL04561_cuf2 1 0
BL04593_evm1 1 0
BL04678_cuf2 1 0
BL04909_evm0 1 0
BL04967_evm0 0 1
BL04999_cuf3 1 0
BL05113_cuf0 1 0
BL05272_evm0 1 0
BL05273_cuf1 1 0
BL05385_cuf1 1 0
BL05602_evm0 0 1
BL05604_cuf0 0 5
BL05621_cuf1 1 0
BL05896_cuf0 0 1
BL06308_cuf0 0 1
BL06548_cuf24 1 0
BL06617_evm1 0 3
BL06973_evm1 1 0
BL07021_evm1 15 0
BL07098_evm0 0 1
BL07126_evm0 1 0
BL07144_cuf9 0 2
BL07224_cuf2 1 0
BL07437_cuf0 0 12
BL07508_cuf0 1 0
BL07623_evm0 1 0
BL07866_cuf1 1 0
BL07997_cuf0 1 0
BL08018_cuf9 1 0
BL08040_evm0 1 0
BL08150_cuf0 1 0
BL08174_cuf4 1 0
BL08194_evm7 2 0
BL08228_cuf1 2 0
BL08257_cuf3 1 0
BL08571_cuf0 1 0
BL08657_cuf1 1 0
BL08684_cuf0 2 0
BL09088_cuf4 1 0
BL09217_evm0 0 2
BL09261_cuf10 1 0
BL09619_cuf0 1 0
BL09925_cuf8 1 0
BL10064_evm0 1 0
BL10068_cuf0 0 1
BL10087_cuf0 1 0
BL10141_evm11 1 0
BL10176_evm0 0 1
BL10342_cuf0 1 0
BL10443_evm0 2 0
BL10528_cuf3 1 0
BL10577_cuf17 1 0
BL10595_cuf1 1 0
BL10762_cuf3 1 0
BL10970_cuf0 1 0
BL11055_evm0 1 0
BL11086_cuf6 1 0
BL11100_cuf0 1 0
BL11264_evm19 6 0
BL11283_evm0 1 0
BL11329_cuf1 1 0
BL11419_cuf1 13 0
BL11543_cuf5 2 0
BL11597_cuf0 1 0
BL11694_cuf10 1 0
BL11841_cuf0 1 0
BL11854_evm3 1 0
BL12081_cuf0 1 0
BL12324_evm0 1 0
BL12491_cuf6 1 0
BL12498_evm0 1 0
BL12697_cuf2 1 0
BL13095_evm0 0 14
BL13226_cuf2 1 0
BL13311_cuf0 1 0
BL13341_cuf8 1 0
BL13373_cuf13 1 0
BL13441_evm0 0 2
BL13552_cuf0 0 2
BL13609_cuf7 1 0
BL13824_cuf0 1 0
BL13897_cuf0 1 0
BL13987_cuf5 3 0
BL14174_cuf1 1 0
BL14448_cuf8 1 0
BL14449_evm0 1 0
BL14696_cuf0 5 0
BL14919_cuf0 1 0
BL15123_cuf1 1 0
BL15146_cuf0 1 0
BL15254_evm0 1 0
BL15309_cuf1 1 0
BL15332_evm1 1 0
BL15393_cuf0 1 0
BL15631_cuf1 1 0
BL15648_cuf0 1 0
BL15685_cuf6 1 0
BL15713_cuf0 1 0
BL16120_evm6 0 14
BL16201_cuf2 1 0
BL16280_cuf3 1 0
BL16533_cuf5 5 0
BL17373_evm4 1 0
BL17557_cuf1 1 0
BL17609_cuf1 1 0
BL17750_evm6 1 0
BL17913_cuf5 1 0
BL17924_evm6 1 0
BL18059_cuf13 1 0
BL18166_cuf7 1 0
BL18378_cuf0 1 0
BL18428_cuf0 1 0
BL18452_cuf2 1 0
BL18458_evm0 0 1
BL18595_evm6 1 0
BL18623_cuf11 1 0
BL18655_cuf0 1 0
BL18677_cuf0 1 0
BL18894_evm0 1 0
BL18905_cuf4 1 0
BL18930_evm0 1 0
BL19113_evm0 2 0
BL19235_cuf0 1 0
BL19253_cuf0 1 0
BL19412_cuf2 0 4
BL19549_cuf0 1 0
BL19665_evm1 1 0
BL19676_cuf0 1 0
BL19797_cuf1 1 0
BL19853_cuf24 1 0
BL19990_cuf4 1 0
BL20081_evm1 1 0
BL20278_evm9 1 0
BL20346_evm25 1 0
BL20944_evm3 1 0
BL20972_cuf0 1 0
BL20988_cuf0 1 0
BL21134_evm5 1 0
BL21459_cuf0 1 0
BL21856_cuf0 1 0
BL21968_cuf4 1 0
BL22014_cuf0 1 0
BL22049_cuf8 1 0
BL22443_evm0 1 0
BL22720_cuf2 1 0
BL23197_cuf0 1 0
BL23394_cuf0 0 3
BL23405_evm1 1 0
BL23463_cuf35 1 0
BL23947_cuf1 1 0
BL24134_cuf0 0 1
BL24287_cuf1 1 0
BL24346_evm1 1 0
BL24433_cuf3 1 0
BL24573_cuf25 1 0
BL24905_cuf23 1 0
BL25308_evm0 2 0
BL26108_evm0 0 1
BL28448_evm0 0 28
BL28517_evm0 1 0
BL29007_evm2 1 0
BL30553_evm2 1 0
BL30816_evm0 1 0
BL31135_evm0 1 0
BL31516_evm0 0 1
BL33375_cuf0 1 0
BL40893_cuf0 1 0
BL46754_cuf1 1 0
BL56006_cuf1 1 0
BL65383_cuf0 5 0
BL67708_cuf3 1 0
BL79153_cuf0 1 0
BL95398_evm0 2 0
BL95446_evm1 1 0
BL95878_evm1 0 2
BL95885_evm3 0 1
BL96082_evm1 1 0
BL96128_evm0 1 0
BL96225_cuf3 29 0
BL96233_cuf2 1 0
BL96877_cuf0 1 0
BL97038_cuf1 1 0
BL97479_cuf0 0 1
