Transcript Sense_junction_reads Antisense_junction_reads
BL00064_cuf7 1 0
BL00148_evm0 1 0
BL00174_cuf3 1 0
BL00227_cuf0 1 0
BL00257_cuf6 1 0
BL00360_evm2 0 6
BL00386_cuf0 1 0
BL00388_cuf0 1 0
BL00405_cuf8 7 0
BL00439_evm0 0 1
BL00446_cuf0 1 0
BL00451_cuf3 4 0
BL00479_evm0 1 0
BL00482_cuf1 1 0
BL00505_evm0 5 0
BL00627_cuf3 1 0
BL00633_cuf3 1 0
BL00664_cuf0 1 0
BL00687_cuf0 2 0
BL00690_evm0 1 0
BL00698_cuf0 1 0
BL00862_cuf0 1 0
BL00982_evm7 4 0
BL00998_cuf13 1 0
BL01008_evm0 1 0
BL01011_cuf0 1 0
BL01194_evm1 1 0
BL01236_cuf0 1 0
BL01251_evm0 1 0
BL01295_evm1 2 0
BL01350_cuf20 1 0
BL01375_cuf0 1 0
BL01386_cuf4 1 0
BL01392_cuf0 1 0
BL01426_cuf0 1 0
BL01443_cuf1 1 0
BL01483_cuf2 0 3
BL01498_cuf25 13 0
BL01542_evm1 1 0
BL01546_evm0 1 0
BL01614_evm38 1 0
BL01864_cuf6 3 0
BL01972_evm1 6 0
BL02009_evm0 1 0
BL02103_cuf16 1 0
BL02148_cuf0 1 0
BL02216_cuf0 1 0
BL02250_cuf2 1 0
BL02317_cuf1 1 0
BL02427_evm0 1 0
BL02475_cuf1 5 0
BL02480_cuf0 1 0
BL02498_evm18 1 0
BL02527_cuf1 2 0
BL02579_cuf13 1 0
BL02659_cuf4 1 0
BL02742_cuf4 2 0
BL02767_evm0 1 0
BL02854_cuf2 1 0
BL02950_cuf7 1 0
BL03018_cuf10 2 0
BL03040_evm0 1 0
BL03103_cuf10 2 0
BL03160_cuf5 1 0
BL03196_evm0 4 0
BL03199_cuf8 2 0
BL03268_cuf0 7 0
BL03302_cuf0 2 0
BL03342_cuf2 1 0
BL03352_evm0 1 0
BL03388_cuf4 1 0
BL03389_cuf0 1 0
BL03410_cuf16 3 0
BL03545_cuf1 1 0
BL03577_evm0 4 0
BL03697_cuf0 1 0
BL03756_evm0 1 0
BL03762_cuf11 1 0
BL03778_evm4 1 0
BL03798_cuf0 1 0
BL03810_cuf2 2 0
BL03815_evm21 1 0
BL03849_evm0 1 0
BL03904_evm12 5 0
BL03940_cuf1 1 0
BL03951_cuf1 2 0
BL03978_cuf2 1 0
BL04056_cuf18 2 0
BL04064_cuf0 1 0
BL04072_cuf1 1 0
BL04096_cuf0 1 0
BL04107_evm3 2 0
BL04110_evm0 2 0
BL04211_cuf0 1 0
BL04345_cuf3 1 0
BL04409_evm0 5 0
BL04434_cuf1 1 0
BL04462_cuf10 2 0
BL04501_evm4 1 0
BL04505_evm6 1 0
BL04552_cuf4 3 0
BL04588_cuf1 1 0
BL04632_cuf1 1 0
BL04654_cuf0 1 0
BL04715_cuf8 4 0
BL04791_cuf3 2 0
BL04801_cuf2 1 0
BL04855_cuf0 0 1
BL04858_cuf2 7 0
BL04872_cuf2 3 0
BL04890_cuf6 1 0
BL04915_cuf0 2 0
BL04953_cuf2 1 0
BL05007_cuf3 1 0
BL05116_evm1 3 0
BL05174_cuf0 1 0
BL05206_cuf0 1 0
BL05231_cuf4 1 0
BL05251_cuf7 1 0
BL05310_cuf2 1 0
BL05339_cuf0 1 0
BL05345_cuf1 1 0
BL05366_evm6 1 0
BL05384_cuf18 1 0
BL05385_cuf1 1 0
BL05423_cuf0 1 0
BL05489_evm4 1 0
BL05491_cuf3 2 0
BL05513_cuf1 1 0
BL05517_cuf16 1 0
BL05544_evm6 1 0
BL05549_cuf1 3 0
BL05584_cuf1 1 0
BL05586_evm0 1 0
BL05597_cuf0 2 0
BL05602_evm0 6 0
BL05604_cuf0 0 2
BL05635_evm0 1 0
BL05679_cuf11 2 0
BL05770_evm0 1 0
BL05837_evm3 1 0
BL05870_cuf9 3 0
BL05889_evm0 3 0
BL05931_cuf2 1 0
BL05983_evm11 1 0
BL06004_evm1 1 0
BL06041_evm0 1 0
BL06046_evm6 1 0
BL06080_cuf1 3 0
BL06097_cuf6 1 0
BL06117_evm2 2 0
BL06383_cuf0 1 0
BL06442_cuf3 1 0
BL06455_cuf0 1 0
BL06563_cuf1 1 0
BL06607_evm1 1 0
BL06658_cuf0 1 0
BL06687_evm0 2 0
BL06716_cuf2 4 0
BL06718_cuf1 3 0
BL06723_evm1 2 0
BL06772_cuf2 1 0
BL06774_cuf0 2 0
BL06776_cuf0 1 0
BL06883_cuf1 1 0
BL06944_evm2 1 0
BL06958_cuf0 1 0
BL07002_cuf5 1 0
BL07021_evm1 10 0
BL07092_cuf4 1 0
BL07122_cuf8 1 0
BL07126_evm0 5 0
BL07142_cuf2 1 0
BL07164_cuf2 2 0
BL07197_cuf0 1 0
BL07224_cuf2 1 0
BL07317_cuf7 2 0
BL07328_evm1 1 0
BL07338_cuf1 1 0
BL07365_cuf3 1 0
BL07437_cuf0 0 2
BL07569_cuf0 2 0
BL07623_evm0 1 0
BL07639_cuf0 2 0
BL07676_cuf1 1 0
BL07716_cuf0 1 0
BL07766_evm7 1 0
BL07835_cuf1 6 0
BL07894_cuf0 1 0
BL07898_cuf1 1 0
BL07945_cuf1 2 0
BL08018_cuf9 5 0
BL08040_evm0 1 0
BL08042_evm1 1 0
BL08064_cuf0 1 0
BL08089_cuf4 2 0
BL08114_cuf16 1 0
BL08122_cuf1 1 0
BL08136_evm0 1 0
BL08138_cuf7 1 0
BL08154_cuf0 1 0
BL08184_evm0 1 0
BL08228_cuf1 1 0
BL08344_evm0 5 0
BL08367_cuf0 1 0
BL08387_cuf0 1 0
BL08403_cuf0 1 0
BL08412_cuf3 1 0
BL08474_cuf0 1 0
BL08478_cuf2 1 0
BL08542_cuf41 1 0
BL08555_cuf0 1 0
BL08640_cuf2 1 0
BL08644_cuf0 1 0
BL08665_cuf0 1 0
BL08669_evm31 2 0
BL08684_cuf0 1 0
BL08761_cuf8 1 0
BL08850_cuf5 1 0
BL08877_evm0 1 0
BL08893_evm0 1 0
BL08899_cuf0 1 0
BL08930_cuf6 1 0
BL08950_cuf0 6 0
BL08998_cuf0 1 0
BL09002_cuf0 1 0
BL09013_evm1 1 0
BL09082_evm1 0 1
BL09088_cuf4 2 0
BL09110_cuf0 1 0
BL09112_evm0 1 0
BL09186_cuf1 1 0
BL09343_evm0 1 0
BL09432_cuf4 0 1
BL09438_cuf0 1 0
BL09527_cuf0 1 0
BL09543_cuf0 1 0
BL09581_cuf4 1 0
BL09610_cuf0 1 0
BL09619_cuf0 1 0
BL09722_cuf4 1 0
BL09798_cuf2 3 0
BL09810_cuf0 1 0
BL09841_cuf4 1 0
BL09892_cuf12 1 0
BL09898_cuf0 1 0
BL09951_cuf0 1 0
BL10072_evm0 2 0
BL10073_cuf0 2 0
BL10205_cuf2 1 0
BL10207_cuf7 1 0
BL10214_evm4 2 0
BL10273_cuf1 2 0
BL10274_cuf0 1 0
BL10321_cuf6 1 0
BL10323_evm0 1 0
BL10353_cuf0 2 0
BL10374_cuf4 2 0
BL10431_evm9 1 0
BL10446_evm2 1 0
BL10461_cuf0 2 0
BL10464_cuf3 1 0
BL10503_cuf0 1 0
BL10577_cuf17 5 0
BL10600_cuf2 1 0
BL10605_cuf0 1 0
BL10657_cuf0 1 0
BL10765_evm0 1 0
BL10789_evm1 1 0
BL10791_cuf1 1 0
BL10891_cuf0 1 0
BL10970_cuf0 2 0
BL11036_cuf7 1 0
BL11078_evm0 1 0
BL11086_cuf6 25 0
BL11090_evm9 1 0
BL11167_evm2 1 0
BL11181_evm0 1 0
BL11182_evm0 1 0
BL11226_evm2 1 0
BL11264_evm19 3 0
BL11268_cuf1 1 0
BL11296_evm0 1 0
BL11306_evm0 0 1
BL11329_cuf1 2 0
BL11347_evm2 1 0
BL11379_evm0 4 0
BL11414_cuf0 1 0
BL11419_cuf1 8 0
BL11428_cuf6 1 0
BL11510_cuf2 1 0
BL11533_cuf2 1 0
BL11540_cuf3 1 0
BL11580_cuf0 1 0
BL11653_cuf2 1 0
BL11698_cuf0 1 0
BL11839_cuf3 2 0
BL11873_cuf5 1 0
BL11875_evm11 1 0
BL11896_evm0 1 0
BL11925_cuf5 3 0
BL11930_evm0 9 0
BL12015_cuf3 2 0
BL12062_evm0 1 0
BL12088_evm3 1 0
BL12254_cuf5 4 0
BL12283_cuf0 2 0
BL12324_evm0 1 0
BL12371_cuf24 1 0
BL12401_cuf15 1 0
BL12439_evm0 1 0
BL12450_evm1 0 1
BL12462_evm2 1 0
BL12464_cuf2 4 0
BL12482_cuf10 1 0
BL12483_cuf1 1 0
BL12500_evm3 2 0
BL12513_cuf0 3 0
BL12538_evm3 1 0
BL12593_cuf2 2 0
BL12649_cuf0 1 0
BL12748_cuf4 1 0
BL12761_cuf0 1 0
BL12780_cuf0 1 0
BL12817_cuf0 5 0
BL12831_cuf5 1 0
BL12865_cuf0 1 0
BL12987_cuf1 1 0
BL13047_cuf0 3 0
BL13063_cuf11 1 0
BL13161_evm0 1 0
BL13177_evm0 1 0
BL13189_cuf7 1 0
BL13244_evm3 0 1
BL13301_cuf12 1 0
BL13310_cuf3 4 0
BL13311_cuf0 1 0
BL13342_cuf0 1 0
BL13383_cuf2 1 0
BL13410_cuf0 1 0
BL13429_cuf0 1 0
BL13448_cuf0 2 0
BL13490_evm0 5 0
BL13500_cuf1 4 0
BL13507_cuf0 1 0
BL13515_evm2 1 0
BL13519_evm17 1 0
BL13606_evm34 1 0
BL13668_evm7 1 0
BL13690_cuf6 1 0
BL13703_evm5 1 0
BL13786_cuf0 1 0
BL13813_cuf8 1 0
BL13821_evm6 1 0
BL13894_evm7 1 0
BL13908_cuf2 1 0
BL13988_cuf1 4 0
BL13990_cuf0 1 0
BL14046_cuf0 1 0
BL14048_cuf0 4 0
BL14062_cuf14 3 0
BL14090_cuf3 1 0
BL14106_cuf0 1 0
BL14127_cuf0 2 0
BL14180_evm1 1 0
BL14210_cuf0 2 0
BL14255_evm0 1 0
BL14290_cuf4 4 0
BL14311_cuf1 1 0
BL14328_cuf3 5 0
BL14408_cuf0 1 0
BL14422_evm0 16 0
BL14426_cuf8 2 0
BL14472_cuf3 1 0
BL14482_cuf28 1 0
BL14506_cuf4 2 0
BL14595_evm0 1 0
BL14596_cuf0 3 0
BL14641_cuf2 1 0
BL14696_cuf0 10 0
BL14730_evm1 2 0
BL14767_cuf0 1 0
BL14822_cuf1 1 0
