Transcript Sense_junction_reads Antisense_junction_reads
BL00004_cuf13 2 0
BL00013_cuf6 1 0
BL00040_cuf1 1 0
BL00051_cuf0 6 0
BL00060_cuf0 1 0
BL00061_evm1 1 0
BL00104_evm0 1 0
BL00148_evm0 3 0
BL00154_cuf2 1 0
BL00202_cuf0 1 0
BL00213_cuf0 1 0
BL00218_cuf0 1 0
BL00230_cuf0 2 0
BL00233_cuf1 1 0
BL00236_cuf2 2 0
BL00246_evm3 1 0
BL00257_cuf6 1 0
BL00262_cuf2 1 0
BL00270_cuf0 1 0
BL00287_cuf0 2 0
BL00295_cuf11 1 0
BL00316_evm0 1 0
BL00318_evm2 1 0
BL00321_evm2 0 1
BL00322_cuf0 1 0
BL00333_cuf0 7 0
BL00337_evm0 1 0
BL00347_evm20 3 0
BL00356_cuf0 1 0
BL00366_cuf0 2 0
BL00403_cuf0 2 0
BL00412_cuf0 1 0
BL00426_cuf0 1 0
BL00451_cuf3 17 0
BL00473_evm0 1 0
BL00499_cuf0 3 0
BL00504_cuf12 1 0
BL00505_evm0 4 0
BL00541_evm0 2 0
BL00542_cuf2 12 0
BL00554_evm0 1 0
BL00561_cuf0 1 0
BL00585_cuf0 1 0
BL00586_cuf0 1 0
BL00620_evm0 1 0
BL00627_cuf3 1 0
BL00631_cuf1 4 0
BL00662_cuf3 1 0
BL00680_cuf1 5 0
BL00682_cuf2 1 0
BL00687_cuf0 1 0
BL00699_cuf0 1 0
BL00702_cuf0 1 0
BL00705_cuf2 1 0
BL00729_cuf1 1 0
BL00740_cuf0 1 0
BL00748_cuf14 2 0
BL00764_cuf3 4 0
BL00796_cuf4 1 0
BL00846_cuf0 2 0
BL00864_cuf3 0 1
BL00872_evm20 1 0
BL00885_cuf0 0 1
BL00890_evm0 1 0
BL00907_cuf0 1 0
BL00908_cuf0 1 0
BL00919_cuf6 1 0
BL00925_cuf1 1 0
BL00953_evm0 1 0
BL00959_evm0 2 0
BL00972_cuf4 1 0
BL00982_evm7 1 0
BL00992_evm0 7 0
BL00998_cuf13 1 0
BL01005_cuf3 1 0
BL01048_evm1 1 0
BL01085_cuf1 1 0
BL01092_evm0 1 0
BL01105_cuf0 1 0
BL01122_cuf4 1 0
BL01135_cuf4 0 1
BL01139_cuf0 1 0
BL01154_cuf5 1 0
BL01157_cuf0 2 0
BL01179_evm1 1 0
BL01184_evm8 1 0
BL01196_cuf0 1 0
BL01215_cuf3 2 0
BL01242_evm1 2 0
BL01247_cuf1 1 0
BL01286_cuf3 1 0
BL01323_cuf0 1 0
BL01348_cuf1 3 0
BL01359_cuf0 1 0
BL01379_evm0 2 0
BL01386_cuf4 1 0
BL01388_cuf0 1 0
BL01393_cuf0 1 0
BL01410_cuf4 1 0
BL01411_cuf3 1 0
BL01429_cuf2 1 0
BL01462_cuf0 1 0
BL01469_cuf0 2 0
BL01491_cuf0 1 0
BL01498_cuf25 26 0
BL01526_cuf4 1 0
BL01535_cuf1 1 0
BL01542_evm1 1 0
BL01546_evm0 4 0
BL01554_cuf0 2 0
BL01565_cuf2 1 0
BL01573_evm0 3 0
BL01587_evm4 1 0
BL01596_cuf14 1 0
BL01604_cuf8 1 0
BL01605_evm7 1 0
BL01614_evm38 3 0
BL01644_cuf5 1 0
BL01675_evm0 5 0
BL01677_evm0 0 1
BL01682_cuf0 1 0
BL01692_cuf22 1 0
BL01693_evm1 28 0
BL01696_evm0 1 0
BL01702_cuf0 2 0
BL01729_cuf0 1 0
BL01730_cuf0 1 0
BL01749_cuf16 1 0
BL01750_evm0 5 0
BL01753_evm0 1 0
BL01784_cuf3 1 0
BL01787_cuf1 1 0
BL01810_evm0 1 0
BL01830_cuf3 1 0
BL01834_evm2 1 0
BL01853_cuf5 0 1
BL01864_cuf6 17 0
BL01867_evm1 2 0
BL01869_evm3 1 0
BL01915_cuf1 2 0
BL01918_evm0 1 0
BL01959_cuf17 1 0
BL01965_cuf5 3 0
BL01986_cuf0 1 0
BL01998_cuf1 1 0
BL02001_cuf17 1 0
BL02032_cuf1 1 0
BL02034_evm2 2 0
BL02047_evm3 1 0
BL02048_evm2 1 0
BL02052_cuf0 1 0
BL02073_cuf8 1 0
BL02125_evm4 2 0
BL02144_cuf0 2 0
BL02170_cuf0 1 0
BL02185_cuf2 2 0
BL02225_cuf6 1 0
BL02227_evm7 2 0
BL02228_cuf9 1 0
BL02229_evm1 1 0
BL02241_cuf2 1 0
BL02249_cuf0 1 0
BL02265_cuf1 1 0
BL02301_cuf9 1 0
BL02314_cuf2 1 0
BL02317_cuf1 1 0
BL02327_cuf0 2 0
BL02349_cuf0 1 0
BL02375_evm0 1 0
BL02385_evm4 3 0
BL02401_evm0 1 0
BL02435_cuf5 1 0
BL02457_evm0 1 0
BL02468_cuf0 1 0
BL02475_cuf1 3 0
BL02480_cuf0 1 0
BL02489_cuf3 1 0
BL02490_cuf3 0 1
BL02492_cuf0 1 0
BL02498_evm18 1 0
BL02512_cuf0 2 0
BL02527_cuf1 4 0
BL02543_cuf3 1 0
BL02550_cuf0 1 0
BL02557_cuf6 1 0
BL02566_cuf11 3 0
BL02608_cuf4 4 0
BL02614_cuf17 1 0
BL02659_cuf4 2 0
BL02698_cuf0 1 0
BL02709_cuf0 1 0
BL02714_cuf0 1 0
BL02741_cuf1 1 0
BL02743_evm2 1 0
BL02762_cuf6 1 0
BL02767_evm0 1 0
BL02775_evm0 2 0
BL02837_cuf0 1 0
BL02842_cuf0 1 0
BL02865_cuf0 1 0
BL02899_cuf0 1 0
BL02909_evm0 1 0
BL02919_evm5 1 0
BL02924_cuf7 1 0
BL02967_cuf0 1 0
BL02972_cuf1 1 0
BL02976_evm0 1 0
BL02989_evm23 1 0
BL03017_cuf3 1 0
BL03018_cuf10 2 0
BL03066_cuf3 0 1
BL03067_cuf0 1 0
BL03103_cuf10 5 0
BL03104_cuf4 2 0
BL03116_cuf1 1 0
BL03123_cuf7 1 0
BL03157_cuf4 1 0
BL03160_cuf5 1 0
BL03195_cuf2 2 0
BL03196_evm0 6 0
BL03199_cuf8 1 0
BL03203_cuf0 1 0
BL03225_evm0 2 0
BL03249_evm1 2 0
BL03256_cuf2 1 0
BL03264_cuf0 1 0
BL03273_evm12 1 0
BL03281_cuf0 1 0
BL03288_cuf1 2 1
BL03298_cuf0 1 0
BL03302_cuf0 3 0
BL03307_cuf0 1 0
BL03321_evm6 1 0
BL03325_evm0 0 1
BL03329_cuf0 1 0
BL03337_cuf2 1 0
BL03342_cuf2 2 0
BL03352_evm0 1 0
BL03389_cuf0 1 0
BL03400_evm3 1 0
BL03410_cuf16 4 0
BL03425_cuf17 2 0
BL03433_evm0 1 0
BL03451_cuf17 3 0
BL03456_evm1 1 0
BL03457_cuf2 1 0
BL03465_cuf2 1 0
BL03467_cuf0 1 0
BL03482_cuf5 1 0
BL03540_evm2 1 0
BL03545_cuf1 6 0
BL03558_cuf19 1 0
BL03577_evm0 2 0
BL03581_cuf0 1 0
BL03587_cuf0 3 0
BL03592_evm2 1 0
BL03599_cuf0 2 0
BL03607_evm0 1 0
BL03704_evm0 1 0
BL03717_evm16 1 0
BL03721_cuf8 2 0
BL03756_evm0 2 0
BL03762_cuf11 2 0
BL03798_cuf0 1 0
BL03810_cuf2 2 0
BL03815_evm21 20 0
BL03826_evm0 1 0
BL03833_cuf0 1 0
BL03841_cuf2 1 0
BL03846_cuf4 1 0
BL03890_cuf5 2 0
BL03892_cuf0 1 0
BL03893_evm5 5 0
BL03897_cuf0 2 0
BL03898_cuf2 1 0
BL03899_evm10 1 0
BL03904_evm12 1 0
BL03914_evm1 0 1
BL03921_cuf0 2 0
BL03932_evm15 1 0
BL03940_cuf1 3 0
BL03951_cuf1 1 0
BL03975_cuf15 1 0
BL03995_cuf2 3 0
BL04008_evm0 1 0
BL04012_cuf4 1 0
BL04017_cuf2 1 0
BL04030_cuf8 0 1
BL04054_cuf18 1 0
BL04064_cuf0 1 0
BL04065_evm0 2 0
BL04068_cuf0 1 0
