Transcript Sense_junction_reads Antisense_junction_reads
BL10939_evm1 1 0
BL10970_cuf0 3 0
BL10993_cuf9 0 1
BL11071_evm0 1 0
BL11074_evm6 1 0
BL11090_evm9 1 0
BL11110_cuf1 1 0
BL11117_evm10 1 0
BL11122_evm0 1 0
BL11128_evm0 2 0
BL11134_evm4 1 0
BL11155_cuf0 3 0
BL11158_evm1 1 0
BL11228_cuf4 1 0
BL11241_cuf4 1 0
BL11271_cuf0 2 0
BL11324_cuf1 1 0
BL11329_cuf1 1 0
BL11348_evm0 8 0
BL11354_cuf0 1 0
BL11414_cuf0 1 0
BL11459_cuf1 1 0
BL11528_evm0 1 0
BL11754_cuf1 0 1
BL11797_cuf1 1 0
BL11806_cuf1 1 0
BL11833_evm7 1 0
BL11860_cuf0 2 0
BL11895_cuf3 1 0
BL11905_cuf6 1 0
BL11911_cuf1 1 0
BL12014_cuf9 1 0
BL12037_cuf0 1 0
BL12061_cuf3 0 1
BL12105_cuf0 2 0
BL12236_evm0 1 0
BL12282_evm3 1 0
BL12481_cuf0 17 0
BL12488_cuf2 2 0
BL12513_cuf0 1 0
BL12522_cuf0 1 0
BL12524_cuf0 1 0
BL12552_evm0 1 0
BL12613_cuf6 1 0
BL12761_cuf0 1 0
BL12804_evm2 1 0
BL12817_cuf0 5 0
BL12819_cuf8 1 0
BL12832_evm2 2 0
BL12936_cuf0 1 0
BL13095_evm0 0 2
BL13108_cuf0 1 0
BL13114_cuf3 1 0
BL13136_cuf1 1 0
BL13142_cuf11 1 0
BL13185_evm1 1 0
BL13189_cuf7 1 0
BL13226_cuf2 1 0
BL13232_cuf1 1 0
BL13235_evm0 1 0
BL13238_cuf3 1 0
BL13258_cuf0 1 0
BL13311_cuf0 3 0
BL13340_cuf2 1 0
BL13341_cuf8 1 0
BL13342_cuf0 1 0
BL13429_cuf0 1 0
BL13437_evm0 1 0
BL13490_evm0 2 0
BL13531_cuf3 1 0
BL13535_evm1 1 0
BL13561_evm2 1 0
BL13615_cuf0 2 0
BL13624_cuf5 1 0
BL13655_evm0 1 0
BL13684_cuf3 1 0
BL13801_cuf0 2 0
BL13967_evm1 1 0
BL14024_cuf0 1 0
BL14040_cuf0 0 1
BL14048_cuf0 1 0
BL14062_cuf14 1 0
BL14092_evm0 1 0
BL14106_cuf0 1 0
BL14258_cuf1 1 0
BL14273_evm0 1 0
BL14301_evm2 1 0
BL14328_cuf3 1 0
BL14348_cuf3 1 0
BL14422_evm0 2 0
BL14561_cuf0 1 0
BL14641_cuf2 1 0
BL14693_cuf0 1 0
BL14725_evm9 1 0
BL14780_cuf3 1 0
BL14855_cuf1 1 0
BL14956_evm0 3 0
BL15020_evm0 2 0
BL15025_evm0 1 0
BL15039_cuf0 1 0
BL15058_cuf5 1 0
BL15061_cuf1 1 0
BL15080_cuf4 1 0
BL15135_evm0 1 0
BL15218_cuf1 1 0
BL15225_evm6 1 0
BL15345_cuf0 1 0
BL15375_cuf0 2 0
BL15389_cuf2 1 0
BL15434_cuf0 0 1
BL15441_cuf1 1 0
BL15470_evm1 1 0
BL15502_cuf1 1 0
BL15560_cuf13 1 0
BL15619_cuf0 3 0
BL15692_cuf1 1 0
BL15734_cuf0 1 0
BL15753_evm0 1 0
BL15804_cuf1 0 4
BL15831_cuf0 1 0
BL15832_cuf0 3 0
BL15866_cuf0 1 0
BL15914_cuf9 1 0
BL15941_evm0 1 0
BL16013_cuf0 1 0
BL16025_cuf0 1 0
BL16098_cuf0 1 0
BL16194_evm0 2 0
BL16235_cuf0 1 0
BL16334_evm0 5 0
BL16392_evm0 2 0
BL16433_cuf0 1 0
BL16447_cuf2 2 0
BL16497_cuf1 32 0
BL16503_cuf0 3 0
BL16507_cuf1 0 1
BL16547_evm0 1 0
BL16553_evm0 1 0
BL16558_cuf0 1 0
BL16565_cuf2 1 0
BL16569_cuf1 1 0
BL16626_cuf0 1 0
BL16651_cuf1 1 0
BL16704_cuf1 2 0
BL16715_evm0 1 0
BL16734_cuf3 1 0
BL16771_evm1 1 0
BL16829_cuf4 1 0
BL16915_evm0 1 0
BL16916_cuf5 1 0
BL16921_cuf0 1 0
BL16941_cuf3 1 0
BL16944_cuf6 1 0
BL17035_evm5 1 0
BL17058_cuf0 1 0
BL17161_cuf1 1 0
BL17182_cuf0 1 0
BL17192_cuf3 1 0
BL17209_evm3 2 0
BL17231_cuf0 1 0
BL17334_cuf0 2 0
BL17373_evm4 1 0
BL17430_cuf2 1 0
BL17546_evm0 1 0
BL17592_evm0 1 0
BL17615_evm1 1 0
BL17641_cuf0 1 0
BL17642_cuf27 1 0
BL17669_evm3 3 0
BL17730_evm0 1 0
BL17794_cuf5 1 0
BL17813_cuf2 4 0
BL17843_evm2 3 0
BL17914_evm0 1 0
BL17953_evm7 1 0
BL17978_cuf0 1 0
BL17989_evm0 1 0
BL18033_cuf0 1 0
BL18047_cuf0 2 0
BL18057_evm1 1 0
BL18106_evm1 5 0
BL18115_evm2 1 0
BL18165_cuf1 1 0
BL18198_cuf0 1 0
BL18209_evm4 1 0
