Transcript Sense_junction_reads Antisense_junction_reads
BL00004_cuf13 1 0
BL00010_evm0 1 0
BL00021_evm0 0 2
BL00086_cuf0 5 0
BL00104_evm0 1 0
BL00114_cuf2 1 0
BL00131_evm21 1 0
BL00153_evm0 1 0
BL00174_cuf3 1 0
BL00179_evm0 1 0
BL00194_cuf3 1 0
BL00215_evm0 0 2
BL00227_cuf0 2 0
BL00233_cuf1 2 0
BL00236_cuf2 3 0
BL00238_evm0 1 0
BL00240_cuf0 4 0
BL00245_cuf0 1 0
BL00287_cuf0 50 0
BL00292_evm0 1 0
BL00294_evm7 1 0
BL00295_cuf11 0 1
BL00318_evm2 2 0
BL00332_evm1 1 0
BL00333_cuf0 1 0
BL00341_cuf0 1 0
BL00347_evm20 3 0
BL00359_evm4 1 0
BL00362_evm0 1 0
BL00366_cuf0 1 0
BL00376_cuf0 1 0
BL00386_cuf0 3 0
BL00397_cuf0 2 0
BL00403_cuf0 1 0
BL00405_cuf8 3 0
BL00458_evm3 1 0
BL00469_evm0 2 0
BL00473_evm0 1 0
BL00482_cuf1 1 0
BL00487_evm0 1 0
BL00499_cuf0 2 0
BL00505_evm0 6 0
BL00510_evm0 2 0
BL00526_evm3 1 0
BL00537_cuf0 1 0
BL00542_cuf2 23 0
BL00548_evm3 1 0
BL00597_cuf1 3 0
BL00611_cuf1 3 0
BL00620_evm0 3 0
BL00633_cuf3 4 0
BL00662_cuf3 1 0
BL00669_cuf0 1 0
BL00678_cuf0 1 0
BL00682_cuf2 1 0
BL00687_cuf0 4 0
BL00688_evm3 1 0
BL00695_evm0 1 0
BL00702_cuf0 2 0
BL00723_cuf0 1 0
BL00724_cuf0 24 0
BL00748_cuf14 2 0
BL00752_cuf5 1 0
BL00787_evm2 1 0
BL00788_evm0 1 0
BL00789_cuf2 2 0
BL00796_cuf4 3 0
BL00804_cuf2 1 1
BL00811_cuf5 1 0
BL00812_cuf6 1 0
BL00815_evm4 1 0
BL00827_cuf2 1 0
BL00857_cuf5 2 0
BL00862_cuf0 1 0
BL00864_cuf3 1 0
BL00870_cuf1 1 0
BL00885_cuf0 0 1
BL00911_cuf0 2 0
BL00959_evm0 4 0
BL00967_cuf0 1 0
BL00969_cuf0 1 0
BL00992_evm0 2 0
BL00993_cuf1 2 0
BL00998_cuf13 1 0
BL01004_cuf16 2 0
BL01011_cuf0 1 0
BL01044_evm8 3 0
BL01045_cuf2 1 0
BL01048_evm1 1 0
BL01071_cuf6 2 0
BL01083_cuf0 1 0
BL01085_cuf1 1 0
BL01086_cuf5 1 0
BL01089_evm0 1 0
BL01105_cuf0 1 0
BL01111_evm1 1 0
BL01134_cuf1 1 0
BL01136_evm0 1 0
BL01154_cuf5 2 0
BL01157_cuf0 1 0
BL01166_evm1 2 0
BL01173_evm6 1 0
BL01174_evm4 1 0
BL01176_evm0 1 0
BL01184_evm8 1 0
BL01188_cuf0 1 0
BL01193_cuf9 1 0
BL01194_evm1 5 0
BL01209_cuf0 1 0
BL01211_evm0 1 0
BL01238_evm1 3 0
BL01239_cuf0 2 0
BL01247_cuf1 1 0
BL01259_cuf0 2 0
BL01271_evm2 1 0
BL01295_evm1 2 0
BL01317_evm0 1 0
BL01321_evm3 1 0
BL01322_cuf0 1 0
BL01336_cuf1 1 0
BL01337_evm5 1 0
BL01338_cuf0 2 0
BL01390_cuf1 1 0
BL01410_cuf4 1 0
BL01414_cuf1 1 0
BL01429_cuf2 2 0
BL01433_evm1 1 0
BL01443_cuf1 1 0
BL01454_cuf0 3 0
BL01468_cuf0 2 0
BL01480_cuf4 2 0
BL01498_cuf25 8 0
BL01507_cuf5 1 0
BL01514_cuf1 1 0
BL01526_cuf4 1 0
BL01542_evm1 1 0
BL01546_evm0 1 0
BL01556_evm2 5 0
BL01567_evm2 1 0
BL01576_evm4 1 0
BL01580_cuf1 1 0
BL01591_cuf0 2 0
BL01601_cuf0 1 0
BL01605_evm7 1 0
BL01612_cuf3 1 0
BL01614_evm38 3 0
BL01616_cuf8 1 0
BL01644_cuf5 1 0
BL01645_cuf1 4 0
BL01655_evm1 1 0
BL01675_evm0 1 0
BL01692_cuf22 1 0
BL01693_evm1 10 0
BL01698_cuf0 2 0
BL01730_cuf0 3 0
BL01731_cuf1 1 0
BL01750_evm0 1 0
BL01754_cuf0 1 0
BL01761_cuf1 0 1
BL01772_evm0 2 0
BL01784_cuf3 2 0
BL01796_cuf1 1 0
BL01828_cuf0 1 0
BL01830_cuf3 1 0
BL01834_evm2 1 0
BL01864_cuf6 44 0
BL01872_evm1 4 0
BL01875_cuf1 1 0
BL01876_evm0 2 0
BL01910_cuf0 1 0
BL01915_cuf1 14 0
BL01956_cuf4 1 0
BL01962_evm18 1 0
BL01972_evm1 1 0
BL01992_cuf3 2 0
BL01998_cuf1 1 0
BL02002_cuf3 1 0
BL02009_evm0 3 0
BL02032_cuf1 2 0
BL02034_evm2 1 0
BL02039_cuf1 1 0
BL02049_cuf1 1 0
BL02055_cuf0 1 0
BL02064_cuf3 1 0
BL02083_cuf3 1 0
BL02093_evm0 2 0
BL02098_cuf19 5 0
BL02103_cuf16 3 0
BL02104_cuf0 1 0
BL02120_cuf1 2 0
BL02125_evm4 1 0
BL02148_cuf0 1 0
BL02153_cuf14 2 0
BL02165_cuf0 3 0
BL02185_cuf2 3 0
BL02202_evm0 2 0
BL02220_cuf1 2 0
BL02227_evm7 1 0
BL02229_evm1 1 0
BL02230_cuf13 2 0
BL02235_cuf5 1 0
BL02249_cuf0 4 0
BL02253_cuf13 1 0
BL02267_cuf5 1 0
BL02270_cuf2 1 0
BL02274_cuf2 1 0
BL02290_cuf26 1 0
BL02314_cuf2 1 0
BL02316_evm3 1 0
BL02326_cuf0 2 0
BL02340_cuf2 1 0
BL02385_evm4 2 0
BL02418_cuf1 2 0
BL02434_cuf0 1 0
BL02435_cuf5 3 0
BL02437_cuf2 2 0
BL02459_evm10 2 0
BL02475_cuf1 4 0
BL02487_evm0 1 0
BL02492_cuf0 2 0
BL02498_evm18 1 0
BL02503_cuf0 1 0
BL02522_evm0 1 0
BL02538_cuf12 2 0
BL02544_cuf3 1 0
BL02550_cuf0 2 0
BL02579_cuf13 1 0
BL02584_cuf0 1 0
BL02587_cuf1 1 0
BL02600_cuf2 1 0
BL02602_evm7 2 0
BL02603_cuf0 2 0
BL02604_evm0 1 0
BL02605_cuf4 1 0
BL02608_cuf4 1 0
BL02620_cuf0 1 0
BL02625_cuf3 1 0
BL02630_evm0 1 0
BL02643_cuf4 1 0
BL02650_cuf12 1 0
BL02655_cuf3 0 1
BL02659_cuf4 1 0
BL02698_cuf0 2 0
BL02719_cuf1 1 0
BL02729_evm0 1 0
BL02732_cuf0 1 0
BL02742_cuf4 1 0
BL02743_evm2 5 0
BL02746_cuf0 1 0
BL02760_evm0 2 0
BL02762_cuf6 1 0
BL02768_evm0 1 0
BL02772_evm7 1 0
BL02775_evm0 2 0
BL02784_cuf1 1 0
BL02826_evm1 2 0
BL02828_evm0 2 0
BL02842_cuf0 1 0
BL02873_cuf0 1 0
BL02885_cuf1 1 0
BL02907_evm0 1 0
BL02908_cuf1 1 0
BL02921_cuf0 2 0
BL02946_cuf0 1 0
BL02958_cuf0 1 0
BL02961_cuf0 2 0
BL02972_cuf1 1 0
BL02974_cuf0 1 0
BL02981_evm0 1 0
BL03006_cuf0 1 0
BL03016_evm0 1 0
BL03018_cuf10 1 0
BL03022_cuf2 1 0
BL03027_evm2 2 0
BL03040_evm0 2 0
BL03053_cuf4 1 0
BL03073_evm0 2 0
BL03097_cuf0 1 0
BL03103_cuf10 4 0
BL03123_cuf7 1 0
BL03134_cuf0 1 0
BL03144_evm1 1 0
BL03146_cuf1 1 0
BL03157_cuf4 6 0
BL03160_cuf5 2 0
BL03161_cuf0 1 0
BL03167_cuf0 1 0
BL03168_evm0 1 0
BL03187_evm0 1 0
BL03196_evm0 2 0
BL03208_cuf0 1 0
BL03214_cuf3 1 0
BL03220_cuf1 1 0
BL03243_cuf0 1 0
BL03249_evm1 1 0
BL03259_cuf3 1 0
BL03262_cuf2 1 0
BL03273_evm12 1 0
BL03288_cuf1 1 0
BL03302_cuf0 2 0
BL03310_evm3 1 0
BL03311_evm1 1 0
BL03321_evm6 1 0
BL03337_cuf2 1 0
BL03338_cuf3 1 0
BL03342_cuf2 5 0
BL03344_cuf1 1 0
BL03345_evm1 1 0
BL03365_cuf13 1 0
BL03366_cuf1 1 0
BL03377_evm17 1 0
BL03409_cuf1 1 0
BL03411_cuf5 1 0
BL03415_cuf0 1 0
BL03451_cuf17 2 0
BL03457_cuf2 2 0
BL03475_cuf0 1 0
BL03493_evm0 1 0
BL03495_evm0 1 0
BL03500_cuf1 2 0
BL03532_cuf6 1 0
BL03536_evm0 1 0
BL03541_evm1 1 0
BL03545_cuf1 3 0
BL03551_cuf1 1 0
BL03558_cuf19 3 0
BL03580_evm0 4 0
BL03583_cuf19 1 0
BL03587_cuf0 1 0
BL03607_evm0 1 0
BL03615_evm3 1 0
BL03625_evm16 4 0
BL03657_cuf3 1 0
BL03659_evm0 1 0
BL03677_cuf0 1 0
BL03693_cuf0 4 0
BL03697_cuf0 1 0
BL03742_cuf7 1 0
BL03756_evm0 1 0
BL03783_cuf1 1 0
BL03793_cuf0 2 0
BL03794_cuf0 2 0
BL03798_cuf0 1 0
BL03802_evm0 2 0
BL03810_cuf2 2 0
BL03815_evm21 5 0
BL03827_cuf0 1 0
BL03829_cuf0 2 0
BL03835_cuf1 1 0
BL03846_cuf4 1 0
BL03854_cuf3 1 0
BL03856_cuf0 1 0
BL03863_cuf0 0 1
BL03888_cuf0 1 0
BL03896_cuf3 1 0
BL03899_evm10 1 0
BL03902_cuf1 1 0
BL03904_evm12 2 0
BL03905_cuf2 1 0
BL03917_evm0 1 0
BL03921_cuf0 8 0
BL03922_cuf0 1 0
BL03940_cuf1 6 0
BL03945_evm0 1 0
BL03951_cuf1 1 0
BL03962_evm9 1 0
BL03969_cuf0 2 0
BL03970_evm17 3 0
BL03975_cuf15 8 0
BL03990_cuf0 2 0
BL03995_cuf2 2 0
BL04003_cuf0 1 0
BL04017_cuf2 3 0
BL04030_cuf8 1 0
BL04053_cuf0 1 0
BL04054_cuf18 1 0
BL04055_evm0 1 0
BL04064_cuf0 2 0
BL04065_evm0 3 0
BL04073_cuf2 1 0
BL04077_evm0 1 0
BL04091_cuf4 2 0
BL04096_cuf0 1 0
BL04098_cuf3 1 0
BL04107_evm3 6 0
BL04112_evm17 1 0
BL04139_cuf3 1 0
BL04149_cuf1 1 0
BL04167_evm1 4 0
BL04169_cuf0 1 0
BL04180_cuf12 1 0
BL04189_evm0 1 0
BL04192_cuf2 1 0
BL04216_cuf12 1 0
BL04221_cuf0 1 0
BL04291_cuf0 1 0
BL04292_cuf0 1 0
BL04297_cuf29 1 0
BL04304_cuf0 1 0
BL04307_cuf15 1 0
BL04308_cuf3 1 0
BL04309_evm0 1 0
BL04319_evm0 1 0
BL04328_cuf4 1 0
BL04342_cuf0 1 0
BL04345_cuf3 7 0
BL04346_evm0 1 0
BL04348_evm0 1 0
BL04354_cuf5 1 0
BL04386_cuf2 2 0
BL04387_cuf0 2 0
BL04404_cuf0 1 0
BL04406_evm3 1 0
BL04409_evm0 1 0
BL04411_evm10 2 0
BL04479_evm6 1 0
BL04501_evm4 2 0
BL04505_evm6 1 0
BL04516_evm0 1 0
BL04532_cuf1 1 0
BL04533_cuf24 1 0
BL04538_cuf0 1 0
BL04550_cuf0 1 0
BL04552_cuf4 1 0
BL04577_cuf5 1 0
BL04580_cuf2 3 0
BL04603_cuf1 2 0
BL04607_cuf0 3 0
BL04625_cuf1 1 0
BL04632_cuf1 2 0
BL04636_cuf4 1 0
BL04654_cuf0 1 0
BL04672_cuf1 3 0
BL04677_evm3 1 0
BL04678_cuf2 10 0
BL04686_cuf1 1 0
BL04688_cuf0 1 0
BL04715_cuf8 2 0
BL04753_cuf15 1 0
BL04766_cuf1 2 0
BL04780_cuf0 2 0
BL04782_cuf0 1 0
BL04791_cuf3 4 0
BL04793_cuf9 1 0
BL04801_cuf2 3 0
BL04812_cuf6 1 0
BL04828_cuf0 2 0
BL04858_cuf2 2 0
BL04863_cuf0 6 0
BL04869_evm0 1 0
BL04872_cuf2 2 0
BL04891_evm3 2 0
BL04900_cuf0 0 2
BL04905_cuf0 2 0
BL04907_cuf11 1 0
BL04912_cuf0 4 0
BL04915_cuf0 3 0
BL04928_cuf0 2 0
BL04935_evm0 1 0
BL04947_cuf8 0 3
BL04960_evm0 1 0
BL04987_cuf0 7 0
BL04993_evm0 1 0
BL04998_cuf1 1 0
BL05003_cuf0 1 0
BL05007_cuf3 1 0
BL05008_cuf1 1 0
BL05023_evm7 1 0
BL05042_evm2 1 0
BL05055_cuf0 1 0
BL05059_cuf0 4 0
BL05063_cuf0 1 0
BL05078_evm11 3 0
BL05081_evm0 1 0
BL05088_evm10 1 0
BL05091_evm0 1 0
BL05096_cuf32 1 0
BL05098_cuf0 1 0
BL05109_evm0 1 0
BL05111_evm1 4 0
BL05113_cuf0 1 0
BL05116_evm1 4 0
BL05132_cuf3 1 0
BL05136_evm3 1 0
BL05139_cuf4 3 0
BL05148_evm2 2 0
BL05153_evm11 1 0
BL05154_cuf0 1 0
BL05205_cuf0 1 0
BL05206_cuf0 1 0
BL05222_evm10 1 0
BL05231_cuf4 1 0
BL05236_cuf5 1 0
BL05239_cuf1 2 0
BL05251_cuf7 1 0
BL05262_cuf4 2 0
BL05287_evm0 2 0
BL05293_cuf3 1 0
BL05300_evm6 2 0
BL05307_cuf0 1 0
