Transcript Exonic_reads_sense Junction_reads_sense Exonic_reads_antisense Junction_reads_antisense
BL00368_cuf0 0 0 0 0
BL80605_cuf0 0 0 0 0
BL00192_cuf2 0 0 0 0
BL10931_cuf0 0 0 0 0
BL05055_cuf0 0 1 0 0
BL25105_evm0 0 0 0 0
BL19684_cuf1 0 0 0 0
BL16213_cuf0 0 0 0 0
BL28794_evm0 0 0 0 0
BL35238_cuf0 0 0 0 0
BL96922_cuf1 0 7 0 0
BL97052_cuf2 0 0 0 0
BL21886_evm9 0 0 0 0
BL95723_evm0 1 0 0 0
BL18692_cuf3 0 0 0 0
BL22354_cuf9 0 1 0 0
BL91234_cuf0 0 0 0 0
BL30875_evm0 0 0 0 0
BL02519_cuf4 0 0 0 0
BL17501_cuf3 0 0 0 0
BL00326_cuf1 0 0 0 0
BL86057_cuf0 0 0 0 0
BL13571_cuf1 0 0 0 0
BL12588_cuf2 0 0 0 0
BL65563_cuf1 0 5 0 0
BL03213_cuf0 0 0 0 0
BL01904_cuf4 0 0 0 0
BL07769_evm0 1 0 0 0
BL21453_cuf0 0 0 0 0
BL96046_evm0 4 1 0 0
BL21169_cuf1 0 0 0 0
BL31098_evm0 0 0 0 0
BL84907_cuf0 0 0 0 0
BL70224_cuf0 0 0 0 0
BL20576_cuf0 0 0 0 0
BL26192_evm0 0 0 0 0
BL16835_cuf0 0 0 0 0
BL07869_evm0 0 0 0 0
BL00266_evm0 0 0 0 0
BL95993_evm7 0 0 0 0
BL11413_cuf0 0 0 0 0
BL21433_cuf3 0 0 0 0
BL04360_cuf0 171 9 0 0
BL90255_cuf0 0 0 0 0
BL11869_cuf0 0 0 0 0
BL06031_cuf7 0 3 0 0
BL10969_cuf2 0 0 0 0
BL15342_evm0 1 2 0 0
BL11220_cuf7 0 0 0 0
BL82043_cuf0 0 0 0 0
BL20934_cuf0 0 0 0 0
BL32180_evm0 0 0 0 0
BL30534_evm0 0 0 0 0
BL96596_cuf14 3 0 0 0
BL05753_evm0 0 0 0 1
BL09411_evm0 0 0 0 0
BL21206_cuf0 1 0 0 0
BL22849_cuf0 0 2 0 0
BL12329_cuf5 0 18 0 0
BL12650_evm0 0 2 0 0
BL00118_evm0 0 0 0 0
BL16892_cuf0 0 1 0 0
