Hairpin_ID Sample Reads_for_5p_RNA Reads_for_3p_RNA
563 male 0 0
6135 embryon_15h 29 6407
6135 embryon_36h 36 26426
6135 embryon_60h 48 35420
6135 embryon_8h 69 59487
6135 femelle 2 4431
6135 male 15 6108
685 embryon_15h 1 0
685 embryon_36h 66 25
685 embryon_60h 250 47
685 embryon_8h 15 0
685 femelle 0 0
685 male 3 0
8012 embryon_15h 73 580
8012 embryon_36h 108 1566
8012 embryon_60h 86 1935
8012 embryon_8h 288 6238
8012 femelle 8 1803
8012 male 13 3299
8140 embryon_15h 0 0
8140 embryon_36h 2 0
8140 embryon_60h 4 0
8140 embryon_8h 5 2
8140 femelle 1288 3
8140 male 6723 0
8178 embryon_15h 1 0
8178 embryon_36h 1 0
8178 embryon_60h 42 0
8178 embryon_8h 2 9
8178 femelle 1043 7
8178 male 268 0
8350 embryon_15h 2 0
8350 embryon_36h 23 0
8350 embryon_60h 82 0
8350 embryon_8h 92 1
8350 femelle 11570 0
8350 male 11990 0
8653 embryon_15h 6072 0
8653 embryon_36h 54587 0
8653 embryon_60h 147494 0
8653 embryon_8h 6243 2
8653 femelle 20992 0
8653 male 6126 0
8661 embryon_15h 18 10
8661 embryon_36h 5 304
8661 embryon_60h 6 372
8661 embryon_8h 53 178
8661 femelle 3 136
8661 male 1 225
8669 embryon_15h 4 225
8669 embryon_36h 49 2708
8669 embryon_60h 534 52809
8669 embryon_8h 5 2393
8669 femelle 8 44469
8669 male 2 43869
8703 embryon_15h 68 434
8703 embryon_36h 570 4671
8703 embryon_60h 462 6173
8703 embryon_8h 1255 5178
8703 femelle 31 2094
8703 male 34 1183
8727 embryon_15h 1 0
8727 embryon_36h 4 0
8727 embryon_60h 33 21
8727 embryon_8h 174 2
8727 femelle 102 0
8727 male 33 0
8867 embryon_15h 0 0
8867 embryon_36h 1 0
8867 embryon_60h 3 0
8867 embryon_8h 13 1
8867 femelle 576 0
8867 male 301 4
9078 embryon_15h 2 0
9078 embryon_36h 8 4
9078 embryon_60h 128 20
9078 embryon_8h 102 4
9078 femelle 56 3
9078 male 17 0
9083 embryon_15h 1 0
9083 embryon_36h 80 1
9083 embryon_60h 211 3
9083 embryon_8h 40 0
9083 femelle 32 0
9083 male 10 1
9298 embryon_15h 0 12
9298 embryon_36h 19 581
9298 embryon_60h 80 2169
9298 embryon_8h 22 56
9298 femelle 21 117
9298 male 280 63
