#Organism/Name	Kingdom	Group	SubGroup	Size (Mb)	Chrs	Organelles	Plasmids	Assemblies
Manacus vitellinus	Eukaryota	Animals	Birds	1213.42	-	-	-	2
Mandrillus leucophaeus	Eukaryota	Animals	Mammals	3061.99	-	-	-	1
Manduca sexta	Eukaryota	Animals	Insects	419.424	-	-	-	1
Manis javanica	Eukaryota	Animals	Mammals	2547.4	-	1	-	1
Manis pentadactyla	Eukaryota	Animals	Mammals	2204.73	-	-	-	1
Marmota marmota	Eukaryota	Animals	Mammals	2510.59	-	-	-	1
Marsupenaeus japonicus	Eukaryota	Animals	Other Animals	1660.27	-	-	-	1
Mayetiola destructor	Eukaryota	Animals	Insects	185.828	-	-	-	2
Maylandia zebra	Eukaryota	Animals	Fishes	859.842	-	2	-	2
Mchenga conophoros	Eukaryota	Animals	Fishes	73.4256	-	-	-	1
Megachile rotundata	Eukaryota	Animals	Insects	272.661	-	-	-	1
Megaderma lyra	Eukaryota	Animals	Mammals	1735.93	-	-	-	1
Megaselia abdita	Eukaryota	Animals	Insects	412.271	-	-	-	1
Megaselia scalaris	Eukaryota	Animals	Insects	489.348	-	-	-	1
Melanochromis auratus	Eukaryota	Animals	Fishes	68.2386	-	-	-	1
Meleagris gallopavo	Eukaryota	Animals	Birds	1128.34	32	1	-	1
Melipona quadrifasciata	Eukaryota	Animals	Insects	256.303	-	-	-	1
Melitaea cinxia	Eukaryota	Animals	Insects	389.908	-	1	-	1
Meloidogyne arenaria	Eukaryota	Animals	Roundworms	258.067	-	-	-	1
Meloidogyne floridensis	Eukaryota	Animals	Roundworms	96.6731	-	-	-	1
Meloidogyne graminicola	Eukaryota	Animals	Roundworms	-	-	-	-	-
Meloidogyne hapla	Eukaryota	Animals	Roundworms	53.013	-	-	-	1
Meloidogyne incognita	Eukaryota	Animals	Roundworms	183.532	-	-	-	2
Meloidogyne javanica	Eukaryota	Animals	Roundworms	235.798	-	-	-	1
Melopsittacus undulatus	Eukaryota	Animals	Birds	1117.37	-	1	-	1
Mengenilla moldrzyki	Eukaryota	Animals	Insects	155.727	-	-	-	1
Meriones unguiculatus	Eukaryota	Animals	Mammals	2523.12	-	1	-	1
Merops nubicus	Eukaryota	Animals	Birds	1062.96	-	-	-	1
Mesitornis unicolor	Eukaryota	Animals	Birds	1087.29	-	-	-	1
Mesobuthus martensii	Eukaryota	Animals	Other Animals	925.546	-	-	-	1
Mesocestoides corti	Eukaryota	Animals	Flatworms	117.182	-	-	-	1
Mesocricetus auratus	Eukaryota	Animals	Mammals	2504.93	-	1	-	1
Microcebus murinus	Eukaryota	Animals	Mammals	2487.41	33	1	-	1
Microplitis demolitor	Eukaryota	Animals	Insects	241.19	-	-	-	1
Micropterus floridanus	Eukaryota	Animals	Fishes	1001.52	-	-	-	1
Microtus agrestis	Eukaryota	Animals	Mammals	3124.14	-	-	-	1
Microtus ochrogaster	Eukaryota	Animals	Mammals	2287.34	18	-	-	1
Miichthys miiuy	Eukaryota	Animals	Fishes	619.301	-	-	-	1
Miniopterus natalensis	Eukaryota	Animals	Mammals	1803.1	-	-	-	1
Mizuhopecten yessoensis	Eukaryota	Animals	Other Animals	987.589	-	1	-	1
Mnemiopsis leidyi	Eukaryota	Animals	Other Animals	155.866	-	-	-	1
Mochlonyx cinctipes	Eukaryota	Animals	Insects	441.264	-	-	-	1
Modiolus philippinarum	Eukaryota	Animals	Other Animals	2629.56	-	-	-	1
Mola mola	Eukaryota	Animals	Fishes	639.452	-	-	-	1
Monodelphis domestica	Eukaryota	Animals	Mammals	3598.44	9	1	-	1
Monomorium pharaonis	Eukaryota	Animals	Insects	257.977	-	-	-	1
Monopterus albus	Eukaryota	Animals	Fishes	684.144	-	1	-	1
Morone saxatilis	Eukaryota	Animals	Fishes	585.167	-	-	-	1
Mus caroli	Eukaryota	Animals	Mammals	2553.13	20	1	-	1
Mus musculus	Eukaryota	Animals	Mammals	2818.97	21	1	-	22
Mus pahari	Eukaryota	Animals	Mammals	2475.01	24	-	-	1
Mus spretus	Eukaryota	Animals	Mammals	2625.59	20	1	-	1
Musca domestica	Eukaryota	Animals	Insects	750.404	-	-	-	2
Mustela putorius furo	Eukaryota	Animals	Mammals	2410.88	-	1	-	2
Myodes glareolus	Eukaryota	Animals	Mammals	3443.07	-	-	-	1
Myotis brandtii	Eukaryota	Animals	Mammals	2107.24	-	-	-	1
Myotis davidii	Eukaryota	Animals	Mammals	2059.8	-	-	-	1
Myotis lucifugus	Eukaryota	Animals	Mammals	2034.58	-	-	-	1
Mytilus galloprovincialis	Eukaryota	Animals	Other Animals	1500.15	-	-	-	2
Myzus persicae	Eukaryota	Animals	Insects	347.313	-	1	-	1
Nannopterum auritus	Eukaryota	Animals	Birds	1246.05	-	-	-	1
Nannopterum brasilianus	Eukaryota	Animals	Birds	1346.19	-	-	-	1
Nannopterum harrisi	Eukaryota	Animals	Birds	1202.99	-	-	-	1
Nannospalax galili	Eukaryota	Animals	Mammals	3061.42	-	1	-	1
Nanorana parkeri	Eukaryota	Animals	Amphibians	2053.87	-	1	-	1
Nasalis larvatus	Eukaryota	Animals	Mammals	3011.97	21	-	-	1
Nasonia giraulti	Eukaryota	Animals	Insects	283.607	-	-	-	1
Nasonia longicornis	Eukaryota	Animals	Insects	285.726	-	-	-	1
Nasonia vitripennis	Eukaryota	Animals	Insects	295.781	5	-	-	1
Nasutitermes exitiosus	Eukaryota	Animals	Insects	5.23769	-	-	-	1
Necator americanus	Eukaryota	Animals	Roundworms	244.075	-	-	-	1
Nematostella vectensis	Eukaryota	Animals	Other Animals	356.614	-	-	-	1
Neobellieria bullata	Eukaryota	Animals	Insects	396.225	-	-	-	1
Neodiprion lecontei	Eukaryota	Animals	Insects	239.677	-	-	-	1
Neolamprologus brichardi	Eukaryota	Animals	Fishes	847.91	-	1	-	1
Neomonachus schauinslandi	Eukaryota	Animals	Mammals	2400.93	-	1	-	1
Neotoma lepida	Eukaryota	Animals	Mammals	2353.86	-	-	-	1
Nephila clavipes	Eukaryota	Animals	Other Animals	2439.3	-	-	-	1
Neruda aoede	Eukaryota	Animals	Insects	337.37	-	-	-	1
Nestor notabilis	Eukaryota	Animals	Birds	1053.56	-	-	-	1
Nicrophorus vespilloides	Eukaryota	Animals	Insects	195.273	-	-	-	1
Nilaparvata lugens	Eukaryota	Animals	Insects	1140.8	-	1	-	1
Nipponia nippon	Eukaryota	Animals	Birds	1223.86	-	1	-	1
Nippostrongylus brasiliensis	Eukaryota	Animals	Roundworms	347.48	-	-	-	2
Nomascus leucogenys	Eukaryota	Animals	Mammals	2962.06	26	-	-	1
Notamacropus eugenii	Eukaryota	Animals	Mammals	3075.18	-	-	-	1
Nothobranchius furzeri	Eukaryota	Animals	Fishes	1242.52	19	1	-	4
Nothobranchius kuhntae	Eukaryota	Animals	Fishes	5.23461	-	-	-	1
Notospermus geniculatus	Eukaryota	Animals	Other Animals	858.599	-	-	-	1
Notothenia coriiceps	Eukaryota	Animals	Fishes	636.614	-	1	-	1
Numida meleagris	Eukaryota	Animals	Birds	1043.26	30	1	-	1
Ochotona princeps	Eukaryota	Animals	Mammals	2229.84	-	1	-	2
Octodon degus	Eukaryota	Animals	Mammals	2995.89	-	1	-	1
Octomys mimax	Eukaryota	Animals	Mammals	2591.29	-	-	-	1
Octopus bimaculoides	Eukaryota	Animals	Other Animals	2338.19	-	-	-	1
Odobenus rosmarus divergens	Eukaryota	Animals	Mammals	2400.15	-	1	-	1
Odocoileus virginianus	Eukaryota	Animals	Mammals	2380.51	-	1	-	3
Oesophagostomum dentatum	Eukaryota	Animals	Roundworms	443.017	-	-	-	1
Oikopleura dioica	Eukaryota	Animals	Other Animals	70.4715	-	-	-	2
Oithona nana	Eukaryota	Animals	Other Animals	85.0101	-	-	-	1
Okapia johnstoni	Eukaryota	Animals	Mammals	2878.13	-	-	-	1
Onchocerca flexuosa	Eukaryota	Animals	Roundworms	67.7404	-	-	-	2
Onchocerca ochengi	Eukaryota	Animals	Roundworms	91.6606	-	-	-	2
Onchocerca volvulus	Eukaryota	Animals	Roundworms	96.3406	-	-	-	2
Oncopeltus fasciatus	Eukaryota	Animals	Insects	1098.67	-	-	-	1
Oncorhynchus kisutch	Eukaryota	Animals	Fishes	2369.93	-	1	-	1
Oncorhynchus mykiss	Eukaryota	Animals	Fishes	2179	29	1	-	2
Onthophagus taurus	Eukaryota	Animals	Insects	267.079	-	-	-	1
Ooceraea biroi	Eukaryota	Animals	Insects	212.826	-	-	-	1
Operophtera brumata	Eukaryota	Animals	Insects	638.208	-	-	-	1
Ophionereis fasciata	Eukaryota	Animals	Other Animals	1184.53	-	-	-	1
Ophiophagus hannah	Eukaryota	Animals	Reptiles	1594.07	-	-	-	1
Ophiothrix spiculata	Eukaryota	Animals	Other Animals	2764.32	-	-	-	1
Opisthocomus hoazin	Eukaryota	Animals	Birds	1203.71	-	-	-	1
Opisthorchis viverrini	Eukaryota	Animals	Flatworms	620.453	-	-	-	2
Orbicella faveolata	Eukaryota	Animals	Other Animals	485.549	-	1	-	2
Orchesella cincta	Eukaryota	Animals	Insects	286.767	-	-	-	1
Orcinus orca	Eukaryota	Animals	Mammals	2372.92	-	1	-	1
Oreochromis niloticus	Eukaryota	Animals	Fishes	1009.86	-	1	-	2
Ornithorhynchus anatinus	Eukaryota	Animals	Mammals	1995.61	19	1	-	1
Orussus abietinus	Eukaryota	Animals	Insects	201.22	-	-	-	1
Orycteropus afer	Eukaryota	Animals	Mammals	4444.08	-	1	-	1
Oryctes borbonicus	Eukaryota	Animals	Insects	423.766	-	-	-	1
Oryctolagus cuniculus	Eukaryota	Animals	Mammals	2737.46	22	1	-	1
Oryzias latipes	Eukaryota	Animals	Fishes	869.818	24	1	-	5
Oscheius	Eukaryota	Animals	Roundworms	117.474	-	-	-	3
Oscheius tipulae	Eukaryota	Animals	Roundworms	59.4686	-	-	-	1
Otolemur garnettii	Eukaryota	Animals	Mammals	2519.72	-	-	-	1
Ovis aries	Eukaryota	Animals	Mammals	2615.52	27	1	-	4
Ovis canadensis	Eukaryota	Animals	Mammals	2590.55	27	-	-	1
Pachypsylla venusta	Eukaryota	Animals	Insects	701.763	-	-	-	1
Pampus argenteus	Eukaryota	Animals	Fishes	350.449	-	-	-	1
Pan paniscus	Eukaryota	Animals	Mammals	3286.64	24	2	-	1
Pan troglodytes	Eukaryota	Animals	Mammals	3231.17	25	1	-	4
Panagrellus redivivus	Eukaryota	Animals	Roundworms	65.0931	-	-	-	1
Panthera pardus	Eukaryota	Animals	Mammals	2578.02	-	1	-	1
Panthera tigris	Eukaryota	Animals	Mammals	2391.08	-	1	-	1
Pantherophis guttatus	Eukaryota	Animals	Reptiles	1404.22	-	-	-	1
Pantholops hodgsonii	Eukaryota	Animals	Mammals	2696.89	-	1	-	1
Papilio glaucus	Eukaryota	Animals	Insects	374.816	-	-	-	1
Papilio machaon	Eukaryota	Animals	Insects	278.436	-	1	-	1
Papilio polytes	Eukaryota	Animals	Insects	227.021	-	1	-	1
Papilio xuthus	Eukaryota	Animals	Insects	243.89	-	-	-	2
Papio anubis	Eukaryota	Animals	Mammals	2959.37	21	1	-	1
Paracoccus marginatus	Eukaryota	Animals	Insects	191.208	-	-	-	1
Paralichthys olivaceus	Eukaryota	Animals	Fishes	643.911	24	1	-	2
Parascaris equorum	Eukaryota	Animals	Roundworms	185.377	-	-	-	1
Parascaris univalens	Eukaryota	Animals	Roundworms	242.743	-	-	-	2
Parasteatoda tepidariorum	Eukaryota	Animals	Other Animals	1445.4	-	-	-	1
Parastrongyloides trichosuri	Eukaryota	Animals	Roundworms	42.487	-	-	-	1
Parhyale hawaiensis	Eukaryota	Animals	Other Animals	4023.76	-	-	-	1
Parus major	Eukaryota	Animals	Birds	1020.31	32	1	-	1
Passer domesticus	Eukaryota	Animals	Birds	1042.72	30	1	-	1
Patagioenas fasciata	Eukaryota	Animals	Birds	1089.15	-	-	-	1
Patiria miniata	Eukaryota	Animals	Other Animals	811.029	-	-	-	1
Patiriella regularis	Eukaryota	Animals	Other Animals	949.333	-	-	-	1
Pediculus humanus	Eukaryota	Animals	Insects	110.781	-	-	-	1
Pelecanus crispus	Eukaryota	Animals	Birds	1160.92	-	-	-	1
Pelodiscus sinensis	Eukaryota	Animals	Reptiles	2202.48	-	1	-	1
Penaeus monodon	Eukaryota	Animals	Other Animals	1447.42	-	-	-	1
Periophthalmodon schlosseri	Eukaryota	Animals	Fishes	679.761	-	-	-	1
Periophthalmus magnuspinnatus	Eukaryota	Animals	Fishes	701.697	-	-	-	1
Peromyscus maniculatus	Eukaryota	Animals	Mammals	2630.54	-	-	-	1
Petromyzon marinus	Eukaryota	Animals	Fishes	885.535	-	-	-	1
Phaethon lepturus	Eukaryota	Animals	Birds	1152.96	-	-	-	1
Phalacrocorax carbo	Eukaryota	Animals	Birds	1138.97	-	-	-	1
Phascolarctos cinereus	Eukaryota	Animals	Mammals	3192.58	-	1	-	1
Philaenus spumarius	Eukaryota	Animals	Insects	1248.09	-	-	-	1
Phlebotomus papatasi	Eukaryota	Animals	Insects	363.768	-	-	-	1
Phodopus sungorus	Eukaryota	Animals	Mammals	2003.23	-	-	-	1
Phoebis sennae	Eukaryota	Animals	Insects	287.49	-	-	-	1
Phoenicopterus ruber	Eukaryota	Animals	Birds	1132.18	-	-	-	1
Phormia regina	Eukaryota	Animals	Insects	549.933	-	-	-	2
Phoronis australis	Eukaryota	Animals	Other Animals	498.444	-	-	-	1
Phortica variegata	Eukaryota	Animals	Insects	155.55	-	-	-	1
Phylloscopus plumbeitarsus	Eukaryota	Animals	Birds	997.399	-	-	-	1
Phylloscopus trochiloides	Eukaryota	Animals	Birds	1003.33	-	-	-	2
Phylloscopus trochilus	Eukaryota	Animals	Birds	1066.52	-	-	-	1
Physeter catodon	Eukaryota	Animals	Mammals	2280.73	-	1	-	1
Picoides pubescens	Eukaryota	Animals	Birds	1167.32	-	-	-	1
Pieris rapae	Eukaryota	Animals	Insects	245.886	-	1	-	1
Piezodorus guildinii	Eukaryota	Animals	Insects	3.17985	-	-	-	1
Pimephales promelas	Eukaryota	Animals	Fishes	1219.33	-	-	-	2
Pinctada martensii	Eukaryota	Animals	Other Animals	990.984	14	-	-	1
Platynothrus peltifer	Eukaryota	Animals	Other Animals	100.533	-	-	-	1
Pleurobrachia bachei	Eukaryota	Animals	Other Animals	156.122	-	-	-	1
Plodia interpunctella	Eukaryota	Animals	Insects	382.236	-	-	-	1
Plutella xylostella	Eukaryota	Animals	Insects	393.471	-	1	-	2
Podiceps cristatus	Eukaryota	Animals	Birds	1134.92	-	-	-	1
Poecilia formosa	Eukaryota	Animals	Fishes	748.923	-	-	-	1
Poecilia latipinna	Eukaryota	Animals	Fishes	815.145	-	-	-	1
Poecilia mexicana	Eukaryota	Animals	Fishes	801.711	-	-	-	1
Poecilia reticulata	Eukaryota	Animals	Fishes	731.622	-	1	-	1
Pogona vitticeps	Eukaryota	Animals	Reptiles	1716.68	-	-	-	1
Pogonomyrmex barbatus	Eukaryota	Animals	Insects	235.646	-	-	-	1
Pogonus chalceus	Eukaryota	Animals	Insects	280.876	-	-	-	1
Polistes canadensis	Eukaryota	Animals	Insects	211.202	-	-	-	1
Polistes dominula	Eukaryota	Animals	Insects	208.026	-	-	-	1
Pongo abelii	Eukaryota	Animals	Mammals	3441.24	24	1	-	2
Priacma serrata	Eukaryota	Animals	Insects	12.0783	-	-	-	1
Priapulus caudatus	Eukaryota	Animals	Other Animals	511.738	-	1	-	1
Pristionchus pacificus	Eukaryota	Animals	Roundworms	154.958	-	-	-	1
Procavia capensis	Eukaryota	Animals	Mammals	3602.18	-	-	-	1
Proctacanthus coquilletti	Eukaryota	Animals	Insects	208.908	-	-	-	1
Propithecus coquereli	Eukaryota	Animals	Mammals	2798.15	-	1	-	1
Protobothrops mucrosquamatus	Eukaryota	Animals	Reptiles	1673.88	-	1	-	1
Protopolystoma xenopodis	Eukaryota	Animals	Flatworms	617.345	-	-	-	1
Psammomys obesus	Eukaryota	Animals	Mammals	2311.47	-	-	-	1
Pseudococcus longispinus	Eukaryota	Animals	Insects	284.99	-	-	-	1
Pseudodiploria strigosa	Eukaryota	Animals	Other Animals	167.154	-	-	-	1
Pseudomyrmex gracilis	Eukaryota	Animals	Insects	282.776	-	-	-	1
Pseudopleuronectes yokohamae	Eukaryota	Animals	Fishes	547.831	-	-	-	1
Pseudopodoces humilis	Eukaryota	Animals	Birds	1043	-	1	-	1
Pterocles gutturalis	Eukaryota	Animals	Birds	1069.32	-	-	-	1
Pteronotus parnellii	Eukaryota	Animals	Mammals	1960.32	-	-	-	1
Pteropus alecto	Eukaryota	Animals	Mammals	1985.98	-	1	-	1
Pteropus vampyrus	Eukaryota	Animals	Mammals	2198.28	-	-	-	1
Ptychodera flava	Eukaryota	Animals	Other Animals	1228.69	-	-	-	1
Pundamilia nyererei	Eukaryota	Animals	Fishes	830.133	-	-	-	1
Pygocentrus nattereri	Eukaryota	Animals	Fishes	1285.35	-	1	-	1
Pygoscelis adeliae	Eukaryota	Animals	Birds	1216.62	-	1	-	1
Python bivittatus	Eukaryota	Animals	Reptiles	1435.05	-	1	-	1
Radix auricularia	Eukaryota	Animals	Other Animals	909.764	-	1	-	1
Ramazzottius varieornatus	Eukaryota	Animals	Other Animals	55.8428	-	1	-	1
Rana catesbeiana	Eukaryota	Animals	Amphibians	6250.35	-	1	-	1
Rattus norvegicus	Eukaryota	Animals	Mammals	2870.18	22	1	-	8
Renilla reniformis	Eukaryota	Animals	Other Animals	131.555	-	-	-	1
Rhabditophanes	Eukaryota	Animals	Roundworms	47.2679	-	-	-	1
Rhagoletis zephyria	Eukaryota	Animals	Insects	1113.96	-	-	-	1
Rhamphochromis esox	Eukaryota	Animals	Fishes	71.2951	-	-	-	1
Rhincodon typus	Eukaryota	Animals	Fishes	2931.6	-	1	-	1
Rhinolophus ferrumequinum	Eukaryota	Animals	Mammals	1926.44	-	-	-	1
Rhinolophus sinicus	Eukaryota	Animals	Mammals	2073.34	-	-	-	1
Rhinopithecus bieti	Eukaryota	Animals	Mammals	2977.07	-	1	-	1
Rhinopithecus roxellana	Eukaryota	Animals	Mammals	2899.55	-	1	-	1
Rhipicephalus microplus	Eukaryota	Animals	Other Animals	2008.37	-	-	-	2
Rhodnius prolixus	Eukaryota	Animals	Insects	706.824	-	-	-	1
Romanomermis culicivorax	Eukaryota	Animals	Roundworms	322.766	-	-	-	1
Rotaria magnacalcarata	Eukaryota	Animals	Other Animals	0.702958	-	-	-	1
Rotylenchulus reniformis	Eukaryota	Animals	Roundworms	313.576	-	1	-	1
Rousettus aegyptiacus	Eukaryota	Animals	Mammals	1910.25	-	1	-	1
Saccoglossus kowalevskii	Eukaryota	Animals	Other Animals	775.84	-	1	-	1
Saimiri boliviensis boliviensis	Eukaryota	Animals	Mammals	2608.59	-	1	-	1
Salmo salar	Eukaryota	Animals	Fishes	2966.89	29	1	-	1
Salpa thompsoni	Eukaryota	Animals	Other Animals	318.748	-	-	-	1
Sarcophilus harrisii	Eukaryota	Animals	Mammals	3174.69	-	-	-	2
Sarcoptes scabiei	Eukaryota	Animals	Other Animals	56.2624	-	1	-	1
Saxicola maurus	Eukaryota	Animals	Birds	1020.37	-	-	-	1
Scaptodrosophila lebanonensis	Eukaryota	Animals	Insects	187.417	-	-	-	1
Scartelaos histophorus	Eukaryota	Animals	Fishes	695.009	-	-	-	1
Schistocephalus solidus	Eukaryota	Animals	Flatworms	539.425	-	-	-	1
Schistosoma curassoni	Eukaryota	Animals	Flatworms	344.202	-	-	-	1
Schistosoma haematobium	Eukaryota	Animals	Flatworms	375.894	-	-	-	1
Schistosoma japonicum	Eukaryota	Animals	Flatworms	402.743	-	-	-	1
Schistosoma mansoni	Eukaryota	Animals	Flatworms	364.538	8	2	-	1
Schistosoma margrebowiei	Eukaryota	Animals	Flatworms	367.397	-	-	-	1
Schistosoma mattheei	Eukaryota	Animals	Flatworms	340.818	-	-	-	1
Schistosoma rodhaini	Eukaryota	Animals	Flatworms	343.294	-	-	-	1
Schmidtea mediterranea	Eukaryota	Animals	Flatworms	942.042	-	-	-	4
Scleropages formosus	Eukaryota	Animals	Fishes	777.359	-	1	-	4
Sebastes aleutianus	Eukaryota	Animals	Fishes	899.65	-	-	-	1
Sebastes minor	Eukaryota	Animals	Fishes	681.653	-	-	-	1
Sebastes nigrocinctus	Eukaryota	Animals	Fishes	746.045	-	-	-	1
Sebastes rubrivinctus	Eukaryota	Animals	Fishes	756.297	-	-	-	1
Sebastes steindachneri	Eukaryota	Animals	Fishes	648.011	-	-	-	1
Serinus canaria	Eukaryota	Animals	Birds	1152.1	-	1	-	1
Seriola dumerili	Eukaryota	Animals	Fishes	677.686	-	1	-	1
Seriola quinqueradiata	Eukaryota	Animals	Fishes	639.27	-	-	-	2
Setophaga coronata	Eukaryota	Animals	Birds	1171.93	-	-	-	1
Sinocyclocheilus anshuiensis	Eukaryota	Animals	Fishes	1632.72	-	1	-	1
Sinocyclocheilus grahami	Eukaryota	Animals	Fishes	1750.29	-	1	-	1
Sinocyclocheilus rhinocerous	Eukaryota	Animals	Fishes	1655.79	-	1	-	1
Soboliphyme baturini	Eukaryota	Animals	Roundworms	218.333	-	-	-	1
Solenopsis invicta	Eukaryota	Animals	Insects	396.025	-	1	-	1
Sorex araneus	Eukaryota	Animals	Mammals	2423.16	-	-	-	1
Spermophilus dauricus	Eukaryota	Animals	Mammals	3106.27	-	-	-	1
Sphaeromyxa zaharoni	Eukaryota	Animals	Other Animals	173.585	-	-	-	1
Sphyracephala brevicornis	Eukaryota	Animals	Insects	315.521	-	-	-	1
Spirometra erinaceieuropaei	Eukaryota	Animals	Flatworms	1258.72	-	-	-	1
Spodoptera frugiperda	Eukaryota	Animals	Insects	514.226	-	-	-	2
Spodoptera litura	Eukaryota	Animals	Insects	438.956	31	1	-	1
Sporophila hypoxantha	Eukaryota	Animals	Birds	1067.76	-	-	-	1
Squalius pyrenaicus	Eukaryota	Animals	Fishes	48.1393	-	-	-	1
Steganacarus magnus	Eukaryota	Animals	Other Animals	113.565	-	-	-	1
Stegastes partitus	Eukaryota	Animals	Fishes	800.492	-	-	-	1
Stegodyphus mimosarum	Eukaryota	Animals	Other Animals	2738.7	-	-	-	1
Steinernema carpocapsae	Eukaryota	Animals	Roundworms	85.9347	-	-	-	1
Steinernema feltiae	Eukaryota	Animals	Roundworms	82.5044	-	-	-	1
Steinernema glaseri	Eukaryota	Animals	Roundworms	92.8363	-	-	-	1
Steinernema monticolum	Eukaryota	Animals	Roundworms	89.159	-	-	-	1
Steinernema scapterisci	Eukaryota	Animals	Roundworms	79.6513	-	-	-	1
Stomoxys calcitrans	Eukaryota	Animals	Insects	971.189	-	-	-	1
Strigamia maritima	Eukaryota	Animals	Other Animals	176.211	-	-	-	1
Strix occidentalis	Eukaryota	Animals	Birds	1255.54	-	-	-	1
Strongylocentrotus purpuratus	Eukaryota	Animals	Other Animals	990.915	-	1	-	1
Strongyloides papillosus	Eukaryota	Animals	Roundworms	60.448	-	-	-	1
Strongyloides ratti	Eukaryota	Animals	Roundworms	43.1502	3	-	-	1
Strongyloides stercoralis	Eukaryota	Animals	Roundworms	42.6746	-	-	-	1
Strongyloides venezuelensis	Eukaryota	Animals	Roundworms	52.179	-	-	-	1
Strongylus vulgaris	Eukaryota	Animals	Roundworms	291.096	-	-	-	1
Struthio camelus	Eukaryota	Animals	Birds	1225.04	-	1	-	1
Sturnus vulgaris	Eukaryota	Animals	Birds	1036.76	-	-	-	1
Stylophora pistillata	Eukaryota	Animals	Other Animals	400.12	-	1	-	1
Subanguina moxae	Eukaryota	Animals	Roundworms	90.131	-	-	-	1
Sus scrofa	Eukaryota	Animals	Mammals	2501.91	20	1	-	15
Syphacia muris	Eukaryota	Animals	Roundworms	99.0933	-	-	-	1
Taenia asiatica	Eukaryota	Animals	Flatworms	168.679	-	-	-	2
Taenia multiceps	Eukaryota	Animals	Flatworms	240.09	-	-	-	1
Taenia saginata	Eukaryota	Animals	Flatworms	169.104	-	-	-	1
Taenia solium	Eukaryota	Animals	Flatworms	129.811	-	-	-	3
Taeniopygia guttata	Eukaryota	Animals	Birds	1232.14	35	1	-	2
Takifugu flavidus	Eukaryota	Animals	Fishes	378.032	-	-	-	1
Takifugu rubripes	Eukaryota	Animals	Fishes	391.485	22	1	-	1
Tauraco erythrolophus	Eukaryota	Animals	Birds	1155.54	-	-	-	1
Teladorsagia circumcincta	Eukaryota	Animals	Roundworms	700.607	-	-	-	1
Teleopsis dalmanni	Eukaryota	Animals	Insects	621.706	-	-	-	2
Tephritis californica	Eukaryota	Animals	Insects	342.258	-	-	-	1
Tetranychus urticae	Eukaryota	Animals	Other Animals	90.8286	-	1	-	1
Tetraodon nigroviridis	Eukaryota	Animals	Fishes	342.403	-	-	-	1
Thamnophis sirtalis	Eukaryota	Animals	Reptiles	1424.9	-	-	-	1
Thelazia callipaeda	Eukaryota	Animals	Roundworms	75.3921	-	-	-	1
Thelohanellus kitauei	Eukaryota	Animals	Other Animals	150.348	-	-	-	1
Themira minor	Eukaryota	Animals	Insects	99.8855	-	-	-	1
Thunnus orientalis	Eukaryota	Animals	Fishes	684.497	-	-	-	1
Timema cristinae	Eukaryota	Animals	Insects	1042.63	-	-	-	1
Tinamus guttatus	Eukaryota	Animals	Birds	1047.06	-	-	-	1
Tipula oleracea	Eukaryota	Animals	Insects	541.697	-	-	-	1
Toxocara canis	Eukaryota	Animals	Roundworms	317.116	-	-	-	3
Trabutina mannipara	Eukaryota	Animals	Insects	172.236	-	-	-	1
Trachymyrmex cornetzi	Eukaryota	Animals	Insects	369.438	-	-	-	1
Trachymyrmex septentrionalis	Eukaryota	Animals	Insects	291.747	-	-	-	1
Trachymyrmex zeteki	Eukaryota	Animals	Insects	267.973	-	-	-	1
Tribolium castaneum	Eukaryota	Animals	Insects	165.944	-	1	-	1
Trichechus manatus latirostris	Eukaryota	Animals	Mammals	3103.81	-	1	-	1
Trichinella	Eukaryota	Animals	Roundworms	49.3318	-	-	-	3
Trichinella britovi	Eukaryota	Animals	Roundworms	51.5048	-	-	-	1
Trichinella murrelli	Eukaryota	Animals	Roundworms	64.7232	3	-	-	2
Trichinella nativa	Eukaryota	Animals	Roundworms	47.9332	-	-	-	2
Trichinella nelsoni	Eukaryota	Animals	Roundworms	47.436	-	-	-	1
Trichinella papuae	Eukaryota	Animals	Roundworms	46.8445	-	-	-	1
Trichinella patagoniensis	Eukaryota	Animals	Roundworms	49.7732	-	-	-	1
Trichinella pseudospiralis	Eukaryota	Animals	Roundworms	49.1527	-	-	-	5
Trichinella spiralis	Eukaryota	Animals	Roundworms	63.5254	-	-	-	2
Trichinella zimbabwensis	Eukaryota	Animals	Roundworms	50.7951	-	-	-	1
Trichobilharzia regenti	Eukaryota	Animals	Flatworms	701.762	-	-	-	1
Trichogramma pretiosum	Eukaryota	Animals	Insects	195.088	-	-	-	1
Trichomalopsis sarcophagae	Eukaryota	Animals	Insects	236.484	-	-	-	1
Trichoplax adhaerens	Eukaryota	Animals	Other Animals	105.632	-	-	-	1
Trichuris muris	Eukaryota	Animals	Roundworms	84.4053	-	-	-	1
Trichuris suis	Eukaryota	Animals	Roundworms	63.8397	-	-	-	3
Trichuris trichiura	Eukaryota	Animals	Roundworms	75.4964	-	-	-	1
Trionymus perrisii	Eukaryota	Animals	Insects	237.583	-	-	-	1
Triops cancriformis	Eukaryota	Animals	Other Animals	109.182	-	-	-	1
Tropilaelaps mercedesae	Eukaryota	Animals	Other Animals	352.535	-	-	-	1
Trupanea jonesi	Eukaryota	Animals	Insects	97.2813	-	-	-	1
Tupaia belangeri	Eukaryota	Animals	Mammals	2137.23	-	-	-	1
